paper_id,pmid,year,title,abstract_excerpt,matched_pis,matched_centers,viruses,pathogens,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,final_corpus_decision,final_corpus_reason,review_status,notes
pmid-34756780,34756780,2022,The authors respond: Alternatives to chest compression CPR.,,Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34738224,34738224,2022,Providing care for older adults in the Emergency Department: expert clinical recommendations from the European Task Force on Geriatric Emergency Medicine.,"PURPOSE: Despite the rapidly expanding knowledge in the field of Geriatric Emergency Medicine in Europe, widespread implementation of change is still lacking. Many opportunities in everyday clinical care are missed to improve care for this susceptible and growing patient group...",Ryan McNamara,CViSB,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34711650,34711650,2022,Astrocytic outer retinal layer thinning is not a feature in AQP4-IgG seropositive neuromyelitis optica spectrum disorders.,"BACKGROUND: Patients with anti-aquaporin-4 antibody seropositive (AQP4-IgG+) neuromyelitis optica spectrum disorders (NMOSDs) frequently suffer from optic neuritis (ON) leading to severe retinal neuroaxonal damage. Further, the relationship of this retinal damage to a primary...",Michael Yeaman,UCLA-Persistent-BSI,,,network_modeling,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34698599,34698599,2022,Influence of sequential opening/closing of interface gaps and texture density on bone growth over macro-textured implant surfaces using FE based mechanoregulatory algorithm.,Intramedullary implant fixation is achieved through a press-fit between the implant and the host bone. A stronger press-fit between the bone and the prosthesis often introduces damage to the bone canal creating micro-gaps. The aim of the present investigation is to study the i...,Sumit Chanda,SYBIL,influenza,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,relevant mechanistic terms: host,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34676613,34676613,2022,RCSB Protein Data Bank: Celebrating 50 years of the PDB with new tools for understanding and visualizing biological macromolecules in 3D.,"The Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB), funded by the US National Science Foundation, National Institutes of Health, and Department of Energy, has served structural biologists and Protein Data Bank (PDB) data consumers worldwide s...",Andrej Sali,HPMI,hiv,,network_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34669512,34669512,2022,Functional Effects of Cardiomyocyte Injury in COVID-19.,COVID-19 affects multiple organs. Clinical data from the Mount Sinai Health System show that substantial numbers of COVID-19 patients without prior heart disease develop cardiac dysfunction. How COVID-19 patients develop cardiac disease is not known. We integrated cell biologi...,Adolfo Garcia-Sastre,SYBIL,sars-cov-2;sars-cov;coronavirus,,network_modeling,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",medium,"relevant mechanistic terms: virus, viral",watch,"infectious-disease paper but mechanism signal is still weak: virus, viral, coronavirus, sars",pending,
pmid-34668780,34668780,2022,SARS-CoV-2 Causes Lung Infection without Severe Disease in Human ACE2 Knock-In Mice.,The development of mouse models for coronavirus disease 2019 (COVID-19) has enabled testing of vaccines and therapeutics and defining aspects of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pathogenesis. SARS-CoV-2 disease is severe in K18 transgenic mice (K18-...,Adolfo Garcia-Sastre;Michael Schotsaert,SYBIL,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",medium,relevant mechanistic terms: viral,watch,"infectious-disease paper but mechanism signal is still weak: viral, coronavirus, sars",pending,
pmid-34664523,34664523,2022,Can We Avoid a Systematic Biopsy in Men with PI-RADS® 5? Reply.,,Andrej Sali,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34553462,34553462,2022,Process evaluation in intellectual disability research: A case study and the need for adaptation of frameworks.,"BACKGROUND: Involving adults with cognitive impairments, and specifically intellectual disability, in research is critical to developing appropriate and effective interventions but is highly challenging. Our aim was to examine where complexities lie in delivering research in u...",Ryan McNamara,CViSB,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34346261,34346261,2022,"The Effects of Individualized Music Listening on Affective, Behavioral, Cognitive, and Sundowning Symptoms of Dementia in Long-Term Care Residents.","OBJECTIVES: This study aimed to replicate music's positive effects on dementia-related symptoms, determine whether a 6-month intervention would lead to greater positive outcomes than typical 3- to 4-month interventions, and examine changes in sundowning symptoms after music li...",Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34282079,34282079,2022,The Prognostic Role of DSM-5 Alcohol Use Disorder Severity and Age of Onset in Treatment Outcome Among Adults Aged 60.,"AIMS: To investigate among older adults with DSM-5 alcohol use disorder (AUD) the relevance of (1) baseline DSM-5 AUD severity, (2) age of DSM-5 AUD onset, and (3) the interactions of DSM-5 AUD severity*treatment condition and age of DSM-5 AUD onset*treatment condition for the...",Kristian Andersen,CViSB,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34226203,34226203,2022,Six-week behaviour change intervention to reduce sedentary behaviour in people with chronic obstructive pulmonary disease: a randomised controlled trial.,INTRODUCTION: This study aimed to determine whether a 6-week behaviour change intervention was more effective than a sham intervention for reducing sedentary behaviour (SB) in people with chronic obstructive pulmonary disease (COPD). METHODS: People with stable COPD on the wai...,Ryan McNamara,CViSB,,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34182890,34182890,2022,"No difference in antidepressant prescription in rheumatoid arthritis and controls. Results from a population-based, matched inception cohort.","OBJECTIVE: Depression occurs at least two times more often in rheumatoid arthritis (RA) patients than in controls, but little is known about the treatment of depression in RA. The primary objective of this study was to compare the 1 year period prevalence of antidepressant pre...",Kristian Andersen,CViSB,,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34160185,34160185,2022,Validation of Septic Knee Monoarthritis Prediction Rule in a Lyme Disease Endemic Area.,"OBJECTIVE: In Lyme disease endemic areas, Lyme and septic arthritis often present similarly. A published septic knee arthritis clinical prediction rule includes 2 high-risk predictors: absolute neutrophil count of 10,000 cells/mm3 or greater and erythrocyte sedimentation rate...",Donald S Grant,CViSB,influenza,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34056663,34056663,2022,Factors associated with work performance and mental health of healthcare workers during pandemics: a systematic review and meta-analysis.,Introduction Healthcare workers' work performance and mental health are associated with positive mental health outcomes and directly related to increased productivity and decreased disability costs. Methods We conducted a systematic review to identify factors associated with w...,Melanie Ott,HPMI,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-33882362,33882362,2022,Novel RT-ddPCR assays for measuring the levels of subgenomic and genomic SARS-CoV-2 transcripts.,The replication of SARS-CoV-2 and other coronaviruses depends on transcription of negative-sense RNA intermediates that serve as the templates for the synthesis of positive-sense genomic RNA (gRNA) and multiple different subgenomic mRNAs (sgRNAs) encompassing fragments arising...,Melanie Ott,HPMI,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,relevant mechanistic terms: viral,watch,"infectious-disease paper but mechanism signal is still weak: viral, sars",pending,
pmid-33864469,33864469,2022,Correlations of typical pain patterns with SPECT/CT findings in unhappy patients after total knee arthroplasty.,"PURPOSE: The diagnostic process in patients after painful total knee arthroplasty (TKA) is challenging. The more clinical and radiological information about a patient with pain after TKA is included in the assessment, the more reliable and sustainable the advice regarding TKA...",Alan Hauser,SCRIPT,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-33143761,33143761,2022,The effects of surgery on plasma/serum vitamin C concentrations: a systematic review and meta-analysis.,Vitamin C (ascorbic acid) is a water-soluble vitamin with an array of biological functions. A number of proposed factors contribute to the vitamin's plasma bioavailability and ability to exert optimal functionality. The aim of this review was to systematically assess plasma vi...,Andrej Sali,HPMI,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-33032500,33032500,2022,Differences in the delivery of motivational interviewing across three countries.,"We do not know if the delivery of Motivational Interviewing (MI) differs across countries. In an international study targeting Elderly people with Alcohol Use Disorder, The Elderly Study, MI was part of the treatment applied. Treatment delivery was measured by means of the Mot...",Kristian Andersen,CViSB,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-38917257,38917257,2021,,,Rafael Medina,SYBIL,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-37645198,37645198,2021,A reflection on participatory research methodologies in the light of the COVID-19 - lessons learnt from the European Research Project TRIPS.,"The coronavirus disease (COVID-19) outbreak has had considerable impacts on research projects, particularly those adopting participatory approaches. This paper reflects on the methodological adaptations employed by the European research project TRIPS to facilitate co-design an...",Kristian Andersen,CViSB,sars-cov-2;coronavirus,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,watch,infectious-disease paper but mechanism signal is still weak: coronavirus,pending,
pmid-35485346,35485346,2021,"Pharmacokinetics, safety and tolerability of single- and multiple-ascending doses of JNJ-64530440, a novel hepatitis B virus capsid assembly modulator, in healthy volunteers.","BACKGROUND: Pharmacokinetics and safety of JNJ-64530440, a hepatitis B virus capsid assembly modulator producing normal empty capsids (CAM-N), in healthy volunteers were evaluated. METHODS: This Phase I study (NCT03439488) was a double-blind, randomised, placebo-controlled stu...",Sumit Chanda,SYBIL,,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,relevant mechanistic terms: virus,watch,infectious-disease paper but mechanism signal is still weak: virus,pending,
pmid-35483046,35483046,2021,"2021 Canadian Surgery Forum: Virtual, online Sept. 21-24, 2021.",,Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-35372791,35372791,2021,Hydration for Clean Air Today(a).,,Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-35047064,35047064,2021,"Determinants of completion of cancer directed treatment: an experience from a rural cancer centre, Sangrur, Punjab state, India.","In low and middle-income countries, access to cancer diagnosis and treatment is suboptimal. Further, compliance to cancer treatment is a major issue due to various reasons including financial barriers, lack of family support and fear of treatment. This article discusses the de...",Andrej Sali,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34992552,34992552,2021,Early Positive Approaches to Support (E-PAtS) for Families of Young Children With Intellectual Disability: A Feasibility Randomised Controlled Trial.,"Background: Parents of children with intellectual disabilities are likely to experience poorer mental well-being and face challenges accessing support. Early Positive Approaches to Support (E-PAtS) is a group-based programme, co-produced with parents and professionals, based o...",Ryan McNamara,CViSB,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34981044,34981044,2021,The SARS-CoV-2 B.1.1.529 Omicron virus causes attenuated infection and disease in mice and hamsters.,"Despite the development and deployment of antibody and vaccine countermeasures, rapidly-spreading SARS-CoV-2 variants with mutations at key antigenic sites in the spike protein jeopardize their efficacy. The recent emergence of B.1.1.529, the Omicron variant1,2, which has more...",Adolfo Garcia-Sastre;Michael Schotsaert,SYBIL,sars-cov-2;sars-cov,,network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",medium,"relevant mechanistic terms: virus, viral",include,"viral context plus mechanism/resource terms: virus, viral, sars, network",pending,
pmid-34976511,34976511,2021,"Therapies to Prevent Progression of COVID-19, Including Hydroxychloroquine, Azithromycin, Zinc, and Vitamin D3 With or Without Intravenous Vitamin C: An International, Multicenter, Randomized Trial.","Background COVID-19 is a global pandemic. Treatment with hydroxychloroquine (HCQ), zinc, and azithromycin (AZM), also known as the Zelenko protocol, and treatment with intravenous (IV) vitamin C (IVC) have shown encouraging results in a large number of trials worldwide. In add...",Andrej Sali,HPMI,sars-cov-2,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34935004,34935004,2021,Immunosuppression in Glomerular Diseases: Implications for SARS-CoV-2 Vaccines and COVID-19.,"BACKGROUND: Glomerular diseases (GD) are chronic conditions that often involve immune dysfunction and require immunosuppressive therapy (IST) to control underlying pathogenesis. Unfortunately, such diseases appear to heighten risks of severe outcomes in COVID-19 and predispose...",Michael Yeaman,UCLA-Persistent-BSI,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,relevant mechanistic terms: viral,watch,"infectious-disease paper but mechanism signal is still weak: viral, coronavirus, sars",pending,
pmid-34926079,34926079,2021,Status Migrainosus and Endometriosis: A Case Report and Review of the Literature.,"Status migrainosus is a migraine complication describing an attack lasting longer than 72 hours. In this paper, we present a case of a 34-year-old female with a history of severe endometriosis and hypercoagulable factor type II disease who presented to the emergency department...",Rafael Medina,SYBIL,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34911780,34911780,2021,Uncovering Tumorigenesis Circuitry with Combinatorial CRISPR.,"Oncogenesis relies on the alteration of multiple driver genes, but precisely which groups of alterations lead to cancer is not well understood. To chart these combinations, Zhao and colleagues use the CRISPR-Cas9 system to knockout all pairwise combinations among 52 tumor supp...",Trey Ideker,HPMI,,,crispr_screen;transcriptomics;network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: interaction, crispr",medium,relevant mechanistic terms: crispr,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34874007,34874007,2021,Highly synergistic combinations of nanobodies that target SARS-CoV-2 and are resistant to escape.,The emergence of SARS-CoV-2 variants threatens current vaccines and therapeutic antibodies and urgently demands powerful new therapeutics that can resist viral escape. We therefore generated a large nanobody repertoire to saturate the distinct and highly conserved available ep...,Andrej Sali,HPMI,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",medium,relevant mechanistic terms: viral,watch,"infectious-disease paper but mechanism signal is still weak: viral, sars",pending,
pmid-34868082,34868082,2021,Safety and Immunogenicity Analysis of a Newcastle Disease Virus (NDV-HXP-S) Expressing the Spike Protein of SARS-CoV-2 in Sprague Dawley Rats.,"Despite global vaccination efforts, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) continues to evolve and spread globally. Relatively high vaccination rates have been achieved in most regions of the United States and several countries worldwide. However, access...",Adolfo Garcia-Sastre,SYBIL,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,relevant mechanistic terms: virus,watch,"infectious-disease paper but mechanism signal is still weak: virus, coronavirus, sars",pending,
pmid-34866606,34866606,2021,New system for archiving integrative structures.,"Structures of many complex biological assemblies are increasingly determined using integrative approaches, in which data from multiple experimental methods are combined. A standalone system, called PDB-Dev, has been developed for archiving integrative structures and making the...",Andrej Sali,HPMI,hiv,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34842533,34842533,2021,Electrophysiological Brain Changes Associated With Cognitive Improvement in a Pediatric Attention Deficit Hyperactivity Disorder Digital Artificial Intelligence-Driven Intervention: Randomized Controlled Trial.,BACKGROUND: Cognitive stimulation therapy appears to show promising results in the rehabilitation of impaired cognitive processes in attention deficit hyperactivity disorder. OBJECTIVE: Encouraged by this evidence and the ever-increasing use of technology and artificial intell...,Rafael Medina,SYBIL,,,network_modeling,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34838159,34838159,2021,Identification of a therapeutic interfering particle-A single-dose SARS-CoV-2 antiviral intervention with a high barrier to resistance.,"Viral-deletion mutants that conditionally replicate and inhibit the wild-type virus (i.e., defective interfering particles, DIPs) have long been proposed as single-administration interventions with high genetic barriers to resistance. However, theories predict that robust, the...",Melanie Ott,HPMI,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"relevant mechanistic terms: virus, viral",watch,"infectious-disease paper but mechanism signal is still weak: virus, viral, sars",pending,
pmid-34836913,34836913,2021,"Rethinking public health campaigns in the COVID-19 era: a call to improve effectiveness, equity and impact.",,Scott Filler,UCLA-Persistent-BSI,sars-cov-2,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34832059,34832059,2021,Renewable Power Generation by Reverse Electrodialysis Using an Ion Exchange Membrane.,"Reverse electrodialysis (RED) is a promising technology to extract sustainable salinity gradient energy. However, the RED technology has not reached its full potential due to membrane efficiency and fouling and the complex interplay between ionic flows and fluidic configuratio...",Sumit Chanda,SYBIL,influenza,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34821217,34821217,2021,Reversible phosphorylation of cyclin T1 promotes assembly and stability of P-TEFb.,"The positive transcription elongation factor b (P-TEFb) is a critical coactivator for transcription of most cellular and viral genes, including those of HIV. While P-TEFb is regulated by 7SK snRNA in proliferating cells, P-TEFb is absent due to diminished levels of CycT1 in qu...",Andrej Sali,HPMI,hiv,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,relevant mechanistic terms: viral,watch,"infectious-disease paper but mechanism signal is still weak: viral, hiv",pending,
pmid-34819669,34819669,2021,A multi-scale map of cell structure fusing protein images and interactions.,"The cell is a multi-scale structure with modular organization across at least four orders of magnitude1. Two central approaches for mapping this structure-protein fluorescent imaging and protein biophysical association-each generate extensive datasets, but of distinct qualitie...",Trey Ideker,HPMI,influenza,,epigenomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: proteome,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34816261,34816261,2021,Viral E Protein Neutralizes BET Protein-Mediated Post-Entry Antagonism of SARS-CoV-2.,"Inhibitors of Bromodomain and Extra-terminal domain (BET) proteins are possible anti-SARS-CoV-2 prophylactics as they downregulate angiotensin-converting enzyme 2 (ACE2). Here, we show that BET proteins should not be inactivated therapeutically as they are critical antiviral f...",Nevan Krogan;Melanie Ott,HPMI,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",medium,relevant mechanistic terms: viral,watch,"infectious-disease paper but mechanism signal is still weak: viral, sars",pending,
pmid-34816258,34816258,2021,Susceptibility of sheep to experimental co-infection with the ancestral lineage of SARS-CoV-2 and its alpha variant.,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is responsible for a global pandemic that has had significant impacts on human health and economies worldwide. SARS-CoV-2 is highly transmissible and the cause of coronavirus disease 2019 (COVID-19) in humans. A wide...,Adolfo Garcia-Sastre,SYBIL,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",medium,"relevant mechanistic terms: virus, viral",watch,"infectious-disease paper but mechanism signal is still weak: virus, viral, coronavirus, sars",pending,
pmid-34786611,34786611,2021,"Correction to: 2021 Taxonomic update of phylum Negarnaviricota (Riboviria: Orthornavirae), including the large orders Bunyavirales and Mononegavirales.",,Adolfo Garcia-Sastre,SYBIL,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34786339,34786339,2021,Disseminated melioidosis in a patient from Nicaragua.,"Melioidosis is a disease caused by Burkholderia pseudomallei. Highly endemic areas include tropical Australia and Southeast Asia, though cases have been reported in the Americas. To our knowledge this is the first case to have occurred due to presumed exposure in Nicaragua, de...",Scott Filler,UCLA-Persistent-BSI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34785885,34785885,2021,Surgical Management of Unilateral Partial Limbal Stem Cell Deficiency: Conjunctival Autografts versus Simple Limbal Epithelial Transplantation.,"PURPOSE: To evaluate the clinical outcomes of conjunctival autograft (CAG) versus simple limbal epithelial transplant (SLET) for management of unilateral partial limbal stem cell deficiency (LSCD). METHODS: This retrospective, comparative, interventional case series evaluated...",Sumit Chanda,SYBIL,,,,methods,high,explicit cross-virus/shared-host language: comparative,low,no strong backlog-priority keywords matched,include,explicit cross-virus or shared-host framing in title/abstract,pending,
pmid-34773048,34773048,2021,Interferon mediated prophylactic protection against respiratory viruses conferred by a prototype live attenuated influenza virus vaccine lacking non-structural protein 1.,The influenza A non-structural protein 1 (NS1) is known for its ability to hinder the synthesis of type I interferon (IFN) during viral infection. Influenza viruses lacking NS1 (ΔNS1) are under clinical development as live attenuated human influenza virus vaccines and induce p...,Adolfo Garcia-Sastre;Michael Schotsaert,SYBIL,sars-cov-2;sars-cov;influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",medium,"relevant mechanistic terms: virus, viral",watch,"infectious-disease paper but mechanism signal is still weak: virus, viral, influenza, sars",pending,
pmid-34768582,34768582,2021,Patterns of Thyroid Hormone Prescription in Patients with Bipolar or Schizoaffective Disorder: Findings from the LiSIE Retrospective Cohort Study.,The prescription of thyroid hormone replacement therapy (THRT) has increased in the general population; the thyroid stimulating hormone (TSH) threshold to initiate THRT has decreased. It remains unclear whether a similar trend has occurred in patients with bipolar disorder (BD...,Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34763110,34763110,2021,Neuropathological evidence of body-first vs. brain-first Lewy body disease.,"Aggregation of alpha-synuclein into inclusion bodies, termed Lewy pathology, is a defining feature of Parkinson's disease (PD) and Dementia with Lewy bodies (DLB). In the majority of post mortem cases, the distribution of Lewy pathology seems to follow two overarching patterns...",Kristian Andersen,CViSB,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34762551,34762551,2021,TIPICO XI: report of the first series and podcast on infectious diseases and vaccines (aTIPICO).,"TIPiCO is an annual expert meeting and workshop on infectious diseases and vaccination. The edition of 2020 changed its name and format to aTIPiCO, the first series and podcasts on infectious diseases and vaccines. A total of 13 prestigious experts from different countries par...",Adolfo Garcia-Sastre,SYBIL,sars-cov-2;sars-cov;coronavirus;influenza;rsv,mycobacterium_tuberculosis,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, infection",medium,relevant mechanistic terms: virus,watch,"infectious-disease paper but mechanism signal is still weak: virus, influenza, coronavirus, sars",pending,
pmid-34760330,34760330,2021,Validation of a Portable Whole-Slide Imaging System for Frozen Section Diagnosis.,"BACKGROUND: Frozen section (FS) diagnosis is one of the promising applications of digital pathology (DP). However, the implementation of an appropriate and economically viable DP solution for FS in routine practice is challenging. The objective of this study was to establish t...",Andrej Sali,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34753987,34753987,2021,Cytoprotective IgG antibodies in sera from a subset of patients with AQP4-IgG seropositive neuromyelitis optica spectrum disorder.,"Neuromyelitis optica spectrum disorder (NMOSD) is an autoimmune inflammatory disease of the central nervous system. Most NMOSD patients are seropositive for immunoglobulin G (IgG) autoantibodies against astrocyte water channel aquaporin-4 (AQP4), called AQP4-IgG. AQP4-IgG bind...",Michael Yeaman,UCLA-Persistent-BSI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-34735219,34735219,2021,Rapid assessment of SARS-CoV-2-evolved variants using virus-like particles.,"Efforts to determine why new severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants demonstrate improved fitness have been limited to analyzing mutations in the spike (S) protein with the use of S-pseudotyped particles. In this study, we show that SARS-CoV-2 vir...",Melanie Ott,HPMI,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"relevant mechanistic terms: virus, viral",watch,"infectious-disease paper but mechanism signal is still weak: virus, viral, coronavirus, sars",pending,
pmid-34724823,34724823,2021,New Mechanistic Insights into Purine Biosynthesis with Second Messenger c-di-AMP in Relation to Biofilm-Related Persistent Methicillin-Resistant Staphylococcus aureus Infections.,"Persistent methicillin-resistant Staphylococcus aureus (MRSA) endovascular infections represent a significant clinically challenging subset of invasive, life-threatening S. aureus infections. We have recently demonstrated that purine biosynthesis plays an important role in suc...",Michael Yeaman,UCLA-Persistent-BSI,,staphylococcus_aureus,,primary_research,candidate,"relevant viral/host/pathway terms matched: pathway, infection",medium,relevant mechanistic terms: pathway,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
