paper_id,pmid,source_collection,year,title,center,pi_candidates,decision_reason,parse_status,body_word_count
pmid-27978436,27978436,pi-backlog,2016,The mTOR Complex Controls HIV Latency.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, pathway, screen",normalized,5211
pmid-33676971,33676971,pi-backlog,2021,Intestinal Host Response to SARS-CoV-2 Infection and COVID-19 Outcomes in Patients With Gastrointestinal Symptoms.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, viral, sars-cov-2, sars",normalized,5178
pmid-41676649,41676649,hpmi,2026,Regulation of virion production by the ORF8 signal peptide across SARS-CoV-2 variants.,HPMI,,"virus-focused title/abstract plus weaker cross-virus framing in body: host adaptation, sars-cov-2, sars, immune evasion",cached_normalized,5166
pmid-25211074,25211074,pi-backlog,2014,The interferon signaling antagonist function of yellow fever virus NS5 protein is activated by type I interferon.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: yellow fever virus, flavivirus, virus, viral, yellow fever virus, pathway",normalized,5057
pmid-39384042,39384042,pi-backlog,2024,Cellular NS1-BP protein interacts with the mRNA export receptor NXF1 to mediate nuclear export of influenza virus M mRNAs.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, interaction",cached_normalized,5056
pmid-27116236,27116236,pi-backlog,2016,Antiviral Role of IFITM Proteins in African Swine Fever Virus Infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, restriction factor",normalized,4993
pmid-26651948,26651948,pi-backlog,2015,"Meta- and Orthogonal Integration of Influenza ""OMICs"" Data Defines a Role for UBR4 in Virus Budding.",SYBIL;HPMI,Adolfo Garcia-Sastre;Nevan Krogan,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, interactions",normalized,4986
pmid-34981044,34981044,pi-backlog,2021,The SARS-CoV-2 B.1.1.529 Omicron virus causes attenuated infection and disease in mice and hamsters.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,"virus-focused title/abstract plus weaker cross-virus framing in body: host adaptation, sars-cov-2, sars, network",normalized,4963
pmid-38301954,38301954,current-program,2024,Activity and inhibition of the SARS-CoV-2 Omicron nsp13 R392C variant using RNA duplex unwinding assays.,,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, screen",cached_normalized,4910
pmid-20140189,20140189,pi-backlog,2010,The overlap of small molecule and protein binding sites within families of protein structures.,HPMI,Andrej Sali,"viral context plus mechanism-rich title/abstract: hiv, hiv, pathway, pathways, interaction, interactions",normalized,4794
pmid-21909097,21909097,pi-backlog,2011,Chemical inhibition of RNA viruses reveals REDD1 as a host defense factor.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, screen",normalized,4757
pmid-40025722,40025722,hpmi,2025,Affinity Purification Mass Spectrometry on the Orbitrap-Astral Mass Spectrometer Enables High-Throughput Protein-Protein Interaction Mapping.,HPMI,,"viral context plus mechanism-rich title/abstract: viral, interaction, protein interaction, proteomics, network",cached_normalized,4640
pmid-26789921,26789921,pi-backlog,2016,"Targeting Viral Proteostasis Limits Influenza Virus, HIV, and Dengue Virus Infection.",SYBIL,Adolfo Garcia-Sastre,"explicit cross-virus/shared-host full-text language: multiple viruses, pan-viral",normalized,4587
pmid-20610653,20610653,pi-backlog,2010,NF-kappa B RelA subunit is crucial for early IFN-beta expression and resistance to RNA virus replication.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, host response, pathway, pathways, replication",normalized,4455
pmid-32747391,32747391,current-program,2020,Pathogenesis of COVID-19-induced ARDS: implications for an ageing population.,,,"viral context plus mechanism-rich title/abstract: influenza, coronavirus, sars-cov-2, sars, covid-19, virus",normalized,4443
pmid-36827975,36827975,pi-backlog,2023,"SARS-CoV-2 infection of airway organoids reveals conserved use of Tetraspanin-8 by Ancestral, Delta, and Omicron variants.",HPMI,Melanie Ott,explicit cross-virus/shared-host full-text language: multiple viruses,cached_normalized,4296
pmid-35186917,35186917,pi-backlog,2022,Profiling Selective Packaging of Host RNA and Viral RNA Modification in SARS-CoV-2 Viral Preparations.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",normalized,4285
pmid-23145065,23145065,pi-backlog,2012,Identification of small molecules with type I interferon inducing properties by high-throughput screening.,SYBIL,Adolfo Garcia-Sastre,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, influenza, hepatitis c virus, screen, epithelial",normalized,4219
pmid-29786110,29786110,current-program,2018,"Multi‑layered prevention and treatment of chronic inflammation, organ fibrosis and cancer associated with canonical WNT/β‑catenin signaling activation (Review).",,,"viral context plus mechanism-rich title/abstract: hcv, hepatitis c virus, virus, interaction, interactions, protein interaction",normalized,4204
pmid-21846828,21846828,pi-backlog,2011,Host- and strain-specific regulation of influenza virus polymerase activity by interacting cellular proteins.,SYBIL,Adolfo Garcia-Sastre,"virus-focused title/abstract plus weaker cross-virus framing in body: host adaptation, influenza, h1n1, h5n1, interaction, interactions",normalized,4132
pmid-30401782,30401782,pi-backlog,2018,The Cellular NMD Pathway Restricts Zika Virus Infection and Is Targeted by the Viral Capsid Protein.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: zika, virus, viral, zika, pathway, interaction",normalized,4114
pmid-34519533,34519533,hpmi,2021,Target Discovery for Host-Directed Antiviral Therapies: Application of Proteomics Approaches.,HPMI,,"explicit cross-virus/shared-host full-text language: cross virus, multiple viruses, shared host, pan-viral",normalized,3962
pmid-32553580,32553580,pi-backlog,2021,An 'Arms Race' between the Nonsense-mediated mRNA Decay Pathway and Viral Infections.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: viral, pathway, interaction, interactions",normalized,3897
pmid-24817247,24817247,pi-backlog,2014,An integrated map of HIV-human protein complexes that facilitate viral infection.,HPMI,Trey Ideker,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, interaction, interactions, screen",normalized,3777
pmid-35967877,35967877,pi-backlog,2022,eIF5A is activated by virus infection or dsRNA and facilitates virus replication through modulation of interferon production.,SYBIL,Adolfo Garcia-Sastre,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, influenza, zika, replication, macrophage",normalized,3756
pmid-37252360,37252360,current-program,2023,Lectin Fingerprinting Distinguishes Antibody Neutralization in SARS-CoV-2.,SCRIPT,Alan Hauser,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",normalized,3645
pmid-38375062,38375062,pi-backlog,2024,Upper Airway Epithelial Tissue Transcriptome Analysis Reveals Immune Signatures Associated with COVID-19 Severity in Ghanaians.,CViSB,Donald S Grant,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",cached_normalized,3630
pmid-17703413,17703413,pi-backlog,2007,alpha-Defensin inhibits influenza virus replication by cell-mediated mechanism(s).,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, pathway",normalized,3620
pmid-32822681,32822681,pi-backlog,2020,A novel SUMOylation site in the influenza a virus NS1 protein identified with a highly sensitive FRET assay.,SYBIL,Adolfo Garcia-Sastre,"virus-focused title/abstract plus weaker cross-virus framing in body: species barriers, influenza, h1n1, interaction, replication",normalized,3482
pmid-35899968,35899968,current-program,2022,De novo emergence of SARS-CoV-2 spike mutations in immunosuppressed patients.,,,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",normalized,3326
pmid-26038505,26038505,pi-backlog,2014,Identification of 53 compounds that block Ebola virus-like particle entry via a repurposing screen of approved drugs.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: ebola, virus, ebola, screen, replication",normalized,2985
pmid-32817938,32817938,pi-backlog,2020,An ultra-potent synthetic nanobody neutralizes SARS-CoV-2 by locking Spike into an inactive conformation.,SYBIL;HPMI,Adolfo Garcia-Sastre;Melanie Ott,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",normalized,2855
pmid-24284630,24284630,pi-backlog,2014,Pan-viral specificity of IFN-induced genes reveals new roles for cGAS in innate immunity.,SYBIL,Adolfo Garcia-Sastre,explicit cross-virus/shared-host full-text language: pan-viral,normalized,2516
pmid-32550242,32550242,current-program,2020,SARS-CoV-2 Entry Genes Are Most Highly Expressed in Nasal Goblet and Ciliated Cells within Human Airways.,,,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",normalized,2506
pmid-28869005,28869005,pi-backlog,2017,Human interactome of the influenza B virus NS1 protein.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, interactome, replication",normalized,2396
pmid-17965094,17965094,pi-backlog,2008,BioHealthBase: informatics support in the elucidation of influenza virus host pathogen interactions and virulence.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, pathway, interaction, interactions",normalized,2363
pmid-33501437,33501437,hpmi,2021,Host-directed therapies against early-lineage SARS-CoV-2 retain efficacy against B.1.1.7 variant.,HPMI,,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, coronavirus, sars-cov-2, sars, covid-19, epithelial",normalized,2320
pmid-33243278,33243278,current-program,2020,Elevated L-threonine is a biomarker for Lassa fever and Ebola.,CViSB,Robert Garry;Donald S Grant,"viral context plus mechanism-rich title/abstract: ebola, virus, viral, ebola, pathway, pathways",normalized,2102
pmid-35985635,35985635,pi-backlog,2022,Catching BETs by viruses.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",normalized,346
pmid-20027183,20027183,pi-backlog,2010,Human host factors required for influenza virus replication.,SYBIL;HPMI,Adolfo Garcia-Sastre;Trey Ideker,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, viral, influenza, host factor",normalized,301
pmid-26153856,26153856,pi-backlog,2015,Corrigendum: Pan-viral specificity of IFN-induced genes reveals new roles for cGAS in innate immunity.,SYBIL,Adolfo Garcia-Sastre,"explicit cross-virus/shared-host full-text language: multiple viruses, pan-viral",normalized,145
pmid-22190037,22190037,pi-backlog,2011,Vif hijacks CBF-β to degrade APOBEC3G and promote HIV-1 infection.,HPMI,Andrej Sali,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, interaction, restriction factor",normalized,129
pmid-37025664,37025664,pi-backlog,2023,A covalent inhibitor targeting the papain-like protease from SARS-CoV-2 inhibits viral replication.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, screen",cached_normalized,41
pmid-42244653,42244653,pi-backlog,2026,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,SYBIL,Sumit Chanda,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, coronavirus, sars-cov-2, sars, interaction, interactions",cached_normalized,0
pmid-41279668,41279668,pi-backlog,2025,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,SYBIL,Michael Schotsaert,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, viral, influenza, host response",cached_normalized,0
pmid-41142120,41142120,pi-backlog,2025,Integrative multi-omics analysis in vivo identifies influenza virus host factors.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h1n1, h5n1, virus, viral, influenza",cached_normalized,0
pmid-41141506,41141506,pi-backlog,2025,Liquid Biopsy-Multiomics Link Adhesion Pathway Dysregulation to Kidney Injury Severity.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, sars-cov-2, sars, pathway, pathways",cached_normalized,0
pmid-40909530,40909530,pi-backlog,2025,Single-Cell Network Analysis Identifies CLEC4E as a Key Mediator of Proinflammatory mDC Responses in Influenza Infection.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, pathways",cached_normalized,0
pmid-40766693,40766693,pi-backlog,2025,Coronavirus protein interaction mapping in bat and human cells identifies molecular and genetic switches for immune evasion and replication.,SYBIL;HPMI,Adolfo Garcia-Sastre;Melanie Ott,"virus-focused title/abstract plus weaker cross-virus framing in body: host adaptation, coronavirus, sars-cov-2, sars, interaction, interactions",cached_normalized,0
pmid-40758871,40758871,pi-backlog,2025,Influenza A virus NS1 protein mimics oncogenic PI3K resulting in isoform specific cellular redistribution and activation.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, interactions",cached_normalized,0
pmid-40687705,40687705,pi-backlog,2025,Baseline predictors for 28-day COVID-19 severity and mortality among hospitalized patients: results from the IMPACC study.,UCLA-Persistent-BSI,Elaine Reed,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",cached_normalized,0
pmid-40627391,40627391,pi-backlog,2025,BIK polymorphism and proteasome regulation unveil host risk factor for severe influenza.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host factor, host factors",cached_normalized,0
pmid-40504864,40504864,pi-backlog,2025,Global siRNA screen identifies human host factors critical for SARS-CoV-2 replication and late stages of infection.,SYBIL;HPMI,Adolfo Garcia-Sastre;Trey Ideker,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",cached_normalized,0
pmid-40494346,40494346,pi-backlog,2025,Neuroendocrine cells orchestrate regeneration through Desert hedgehog signaling.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: influenza, sars-cov-2, sars, influenza, sars-cov-2, sars",cached_normalized,0
pmid-40378209,40378209,pi-backlog,2025,Identification and targeting of regulators of SARS-CoV-2-host interactions in the airway epithelium.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",cached_normalized,0
pmid-39975920,39975920,pi-backlog,2025,Muscle macrophage regenerative response after squalene-adjuvanted influenza vaccination drives Th2-skewed response and is reduced with age.,SYBIL,Michael Schotsaert,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, pathway",cached_normalized,0
pmid-38979204,38979204,pi-backlog,2024,Broad-spectrum RNA antiviral inspired by ISG15 (-/-) deficiency.,SYBIL,Adolfo Garcia-Sastre,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, influenza, sars-cov-2, sars, zika, replication",cached_normalized,0
pmid-38562892,38562892,pi-backlog,2024,Integrated multiomics implicates dysregulation of ECM and cell adhesion pathways as drivers of severe COVID-associated kidney injury.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, sars-cov-2, sars, covid-19",cached_normalized,0
pmid-38328256,38328256,pi-backlog,2024,Patient Subtyping Analysis of Baseline Multi-omic Data Reveals Distinct Pre-immune States Predictive of Vaccination Responses.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, influenza, proteomics, transcriptomics, network",cached_normalized,0
pmid-38587193,38587193,hpmi,2024,Assembly of SARS-CoV-2 nucleocapsid protein with nucleic acid.,HPMI,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",cached_normalized,0
pmid-37804247,37804247,current-program,2024,The Third Annual Symposium of the Midwest Aging Consortium.,,,"viral context plus mechanism-rich title/abstract: virus, pathway, pathways",cached_normalized,0
pmid-36299428,36299428,pi-backlog,2022,Impact of SARS-CoV-2 ORF6 and its variant polymorphisms on host responses and viral pathogenesis.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",normalized_empty_sections,0
pmid-32661015,32661015,pi-backlog,2021,Induction and Evasion of Type-I Interferon Responses during Influenza A Virus Infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, immune evasion",normalized_empty_sections,0
pmid-33586677,33586677,current-program,2021,The lung microenvironment shapes a dysfunctional response of alveolar macrophages in aging.,,,"viral context plus mechanism-rich title/abstract: influenza, viral, influenza, macrophage, alveolar",normalized_empty_sections,0
pmid-32839770,32839770,pi-backlog,2020,SARS-CoV-2 ORF9c Is a Membrane-Associated Protein that Suppresses Antiviral Responses in Cells.,HPMI,Nevan Krogan,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",normalized_empty_sections,0
pmid-32522852,32522852,pi-backlog,2020,A Genome-Wide CRISPR-Cas9 Screen Reveals the Requirement of Host Cell Sulfation for Schmallenberg Virus Infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, interaction, interactions, screen, crispr, dependency",normalized_empty_sections,0
pmid-32444466,32444466,hpmi,2020,The Landscape of Human Cancer Proteins Targeted by SARS-CoV-2.,HPMI,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, sars-cov-2, sars",normalized_empty_sections,0
pmid-34013276,34013276,current-program,2020,Alveolitis in severe SARS-CoV-2 pneumonia is driven by self-sustaining circuits between infected alveolar macrophages and T cells.,CViSB,Donald S Grant;Richard Wunderink,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, coronavirus",normalized_empty_sections,0
pmid-31714898,31714898,current-program,2020,Linear ubiquitin assembly complex regulates lung epithelial-driven responses during influenza infection.,,,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, replication",normalized_empty_sections,0
pmid-31043530,31043530,pi-backlog,2019,Host-Specific NS5 Ubiquitination Determines Yellow Fever Virus Tropism.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: dengue, zika, yellow fever virus, flavivirus, virus, viral",normalized_empty_sections,0
pmid-30463968,30463968,pi-backlog,2019,Packaging of the Influenza Virus Genome Is Governed by a Plastic Network of RNA- and Nucleoprotein-Mediated Interactions.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, interactions",normalized_empty_sections,0
pmid-30538201,30538201,pi-backlog,2018,Structural-functional interactions of NS1-BP protein with the splicing and mRNA export machineries for viral and host gene expression.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, interactions",normalized_empty_sections,0
pmid-30258002,30258002,pi-backlog,2018,Influenza Virus NS1 Protein-RNA Interactome Reveals Intron Targeting.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, interactions",normalized_empty_sections,0
pmid-30111569,30111569,pi-backlog,2018,Transcriptome Analysis of Infected and Bystander Type 2 Alveolar Epithelial Cells during Influenza A Virus Infection Reveals In Vivo Wnt Pathway Downregulation.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, pathways",normalized_empty_sections,0
pmid-29321315,29321315,pi-backlog,2018,Paramyxovirus V Proteins Interact with the RIG-I/TRIM25 Regulatory Complex and Inhibit RIG-I Signaling.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, interaction",normalized_empty_sections,0
pmid-27807226,27807226,pi-backlog,2017,"Subcellular Localizations of RIG-I, TRIM25, and MAVS Complexes.",SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, hepatitis c virus, virus, viral, influenza, pathway",normalized_empty_sections,0
pmid-26223644,26223644,pi-backlog,2015,RIG-I Mediates an Antiviral Response to Crimean-Congo Hemorrhagic Fever Virus.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, replication",normalized_empty_sections,0
pmid-26178989,26178989,pi-backlog,2015,HIV Vpu Interferes with NF-κB Activity but Not with Interferon Regulatory Factor 3.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, host response, pathway, pathways",normalized_empty_sections,0
pmid-25389186,25389186,pi-backlog,2015,Mapping of the interaction domains of the Crimean-Congo hemorrhagic fever virus nucleocapsid protein.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, viral, interaction, interactions, replication",normalized_empty_sections,0
pmid-24760882,24760882,pi-backlog,2014,Tumor suppressor cylindromatosis (CYLD) controls HIV transcription in an NF-κB-dependent manner.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, pathway, screen",normalized_empty_sections,0
pmid-23420847,23420847,pi-backlog,2013,Diacylglycerol acyltransferase-1 localizes hepatitis C virus NS5A protein to lipid droplets and enhances NS5A interaction with the viral capsid core.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hcv, hepatitis c virus, virus, viral, interaction, interactions",normalized_empty_sections,0
pmid-22993153,22993153,pi-backlog,2012,Contribution of NS1 effector domain dimerization to influenza A virus replication and virulence.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, interaction, replication",normalized_empty_sections,0
pmid-22855494,22855494,pi-backlog,2012,Increased viral loads and exacerbated innate host responses in aged macaques infected with the 2009 pandemic H1N1 influenza A virus.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, viral, influenza, host response",normalized_empty_sections,0
pmid-22778433,22778433,pi-backlog,2012,Hematopoietic-specific targeting of influenza A virus reveals replication requirements for induction of antiviral immune responses.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, replication",normalized_empty_sections,0
pmid-21917972,21917972,pi-backlog,2011,Major histocompatibility complex class II expression and hemagglutinin subtype influence the infectivity of type A influenza virus for respiratory dendritic cells.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, macrophage",normalized_empty_sections,0
pmid-21593271,21593271,pi-backlog,2011,The NS1 protein of influenza A virus suppresses interferon-regulated activation of antigen-presentation and immune-proteasome pathways.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, viral, influenza, host response",normalized_empty_sections,0
pmid-20844044,20844044,pi-backlog,2010,Virulence-associated substitution D222G in the hemagglutinin of 2009 pandemic influenza A(H1N1) virus affects receptor binding.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, influenza, interaction, replication",normalized_empty_sections,0
pmid-20844032,20844032,pi-backlog,2010,Macaque proteome response to highly pathogenic avian influenza and 1918 reassortant influenza virus infections.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, pathways",normalized_empty_sections,0
pmid-20357099,20357099,pi-backlog,2010,Murine coronavirus delays expression of a subset of interferon-stimulated genes.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: coronavirus, virus, viral, coronavirus, pathway, replication",normalized_empty_sections,0
pmid-20219937,20219937,pi-backlog,2010,Species-specific antagonism of host ISGylation by the influenza B virus NS1 protein.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, interaction, replication",normalized_empty_sections,0
pmid-20071582,20071582,pi-backlog,2010,Phosphorylation-mediated negative regulation of RIG-I antiviral activity.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, viral, interaction, replication",normalized_empty_sections,0
pmid-19812322,19812322,pi-backlog,2009,An integrated systems analysis implicates EGR1 downregulation in simian immunodeficiency virus encephalitis-induced neural dysfunction.,HPMI,Trey Ideker,"viral context plus mechanism-rich title/abstract: hiv, virus, hiv, host response, interaction, protein interaction",normalized_empty_sections,0
pmid-19706713,19706713,pi-backlog,2009,The NS1 protein of the 1918 pandemic influenza virus blocks host interferon and lipid metabolism pathways.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, pathway",normalized_empty_sections,0
pmid-19218453,19218453,pi-backlog,2009,Early and sustained innate immune response defines pathology and death in nonhuman primates infected by highly pathogenic influenza virus.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h5n1, virus, influenza, host response, alveolar",normalized_empty_sections,0
pmid-19019947,19019947,pi-backlog,2009,Hantaan virus nucleocapsid protein binds to importin alpha proteins and inhibits tumor necrosis factor alpha-induced activation of nuclear factor kappa B.,SYBIL,Adolfo Garcia-Sastre,explicit cross-virus/shared-host full-text language: multiple viruses,normalized_empty_sections,0
pmid-17942531,17942531,pi-backlog,2008,Distinct RIG-I and MDA5 signaling by RNA viruses in innate immunity.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, dengue, virus, viral, influenza, dengue",normalized_empty_sections,0
pmid-17494067,17494067,pi-backlog,2007,Peptide-mediated interference with influenza A virus polymerase.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, interactions",normalized_empty_sections,0
pmid-17459917,17459917,pi-backlog,2007,Inhibition of the alpha/beta interferon response by mouse hepatitis virus at multiple levels.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: coronavirus, virus, viral, coronavirus, interaction, replication",normalized_empty_sections,0
pmid-17442719,17442719,pi-backlog,2007,Multiple anti-interferon actions of the influenza A virus NS1 protein.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, viral, influenza, host response",normalized_empty_sections,0
pmid-17269724,17269724,pi-backlog,2007,Identification of cellular interaction partners of the influenza virus ribonucleoprotein complex and polymerase complex using proteomic-based approaches.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, proteomics",normalized_empty_sections,0
pmid-17094252,17094252,pi-backlog,2006,Discovering regulated networks during HIV-1 latency and reactivation.,HPMI,Trey Ideker,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, pathway, pathways",normalized_empty_sections,0
pmid-17006449,17006449,pi-backlog,2006,Genomic analysis of increased host immune and cell death responses induced by 1918 influenza virus.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, pathway",normalized_empty_sections,0
pmid-16928763,16928763,pi-backlog,2006,Integrated molecular signature of disease: analysis of influenza virus-infected macaques through functional genomics and proteomics.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, proteomics",normalized_empty_sections,0
pmid-16352563,16352563,pi-backlog,2006,Prostate tumor cells infected with a recombinant influenza virus expressing a truncated NS1 protein activate cytolytic CD8+ cells to recognize noninfected tumor cells.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, pathways",normalized_empty_sections,0
