source_collection,paper_id,pmid,doi,year,title,center,pi_candidates,cross_virus_relevance,priority,subset_reason,pmcid,pubmed_url,pmc_url,publisher_url,open_access_status,full_text_source,full_text_status,oa_landing_path,oa_pdf_path,manual_download_needed,manual_download_reason
current-program,pmid-39945534,39945534,10.1128/jvi.01575-24,2025,Tracing more than two decades of Japanese encephalitis virus circulation in mainland China.,,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11915822,https://pubmed.ncbi.nlm.nih.gov/39945534/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11915822/,https://doi.org/10.1128/jvi.01575-24,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39945534.url,papers/fulltext/inventory/oa/pmid-39945534.pdf,no,
current-program,pmid-39868236,39868236,10.1101/2025.01.09.631996,2025,Tissue-resident skeletal muscle macrophages promote recovery from viral pneumonia-induced sarcopenia in normal aging.,CViSB,Donald S Grant,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11760773,https://pubmed.ncbi.nlm.nih.gov/39868236/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11760773/,https://doi.org/10.1101/2025.01.09.631996,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39868236.url,papers/fulltext/inventory/oa/pmid-39868236.pdf,no,
current-program,pmid-39836474,39836474,10.1172/jci.insight.182376,2025,The impact of remdesivir on SARS-CoV-2 evolution in vivo.,,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11949014,https://pubmed.ncbi.nlm.nih.gov/39836474/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11949014/,https://doi.org/10.1172/jci.insight.182376,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39836474.url,papers/fulltext/inventory/oa/pmid-39836474.pdf,no,
pi-backlog,pmid-39621658,39621658,10.1371/journal.pone.0312880,2024,Structural and hemodynamic analysis of Weaire-Phelan scaffolds made of Ti-alloy as bone replacement component: A preclinical investigation.,SYBIL,Sumit Chanda,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC11611115,https://pubmed.ncbi.nlm.nih.gov/39621658/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11611115/,https://doi.org/10.1371/journal.pone.0312880,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39621658.url,papers/fulltext/inventory/oa/pmid-39621658.pdf,no,
pi-backlog,pmid-39616949,39616949,10.1016/j.jbc.2024.107975,2024,Correction: Diacylglycerol acyltransferase-1 localizes hepatitis C virus NS5A protein to lipid droplets and enhances NS5A interaction with the viral capsid core.,HPMI,Melanie Ott,candidate,high,"viral context plus mechanism/resource terms: virus, viral, interaction",PMC11648214,https://pubmed.ncbi.nlm.nih.gov/39616949/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11648214/,https://doi.org/10.1016/j.jbc.2024.107975,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39616949.url,papers/fulltext/inventory/oa/pmid-39616949.pdf,no,
pi-backlog,pmid-39580801,39580801,10.1016/j.celrep.2024.114960,2024,TRIM65 regulates innate immune signaling by enhancing K6-linked ubiquitination of IRF3 and its chromatin recruitment.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: viral, interaction",,https://pubmed.ncbi.nlm.nih.gov/39580801/,,https://doi.org/10.1016/j.celrep.2024.114960,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-39580801.url,papers/fulltext/inventory/oa/pmid-39580801.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-39567630,39567630,10.1038/s41598-024-80263-y,2024,Cell surface marker heterogeneity in human myeloma cell lines for modeling of disease and therapy.,CViSB,Kristian Andersen,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC11579509,https://pubmed.ncbi.nlm.nih.gov/39567630/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11579509/,https://doi.org/10.1038/s41598-024-80263-y,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39567630.url,papers/fulltext/inventory/oa/pmid-39567630.pdf,no,
pi-backlog,pmid-39468980,39468980,10.52198/25.STI.45.GY1826,2024,What Happens to Endometriosis During the Menstrual Cycle?,CViSB,Robert Garry,high,low,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/39468980/,,https://doi.org/10.52198/25.STI.45.GY1826,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-39468980.url,papers/fulltext/inventory/oa/pmid-39468980.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-39466906,39466906,10.1002/jmv.70023,2024,Comparative Analysis of 2022 Outbreak MPXV and Previous Clade II MPXV.,SYBIL,Adolfo Garcia-Sastre,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC11600476,https://pubmed.ncbi.nlm.nih.gov/39466906/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11600476/,https://doi.org/10.1002/jmv.70023,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39466906.url,papers/fulltext/inventory/oa/pmid-39466906.pdf,no,
pi-backlog,pmid-39464067,39464067,10.1101/2024.10.11.617898,2024,Identification and Targeting of Regulators of SARS-CoV-2-Host Interactions in the Airway Epithelium.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,candidate,high,"viral context plus mechanism/resource terms: virus, sars, network, host response",PMC11507692,https://pubmed.ncbi.nlm.nih.gov/39464067/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11507692/,https://doi.org/10.1101/2024.10.11.617898,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39464067.url,papers/fulltext/inventory/oa/pmid-39464067.pdf,no,
pi-backlog,pmid-39391249,39391249,10.3389/fonc.2024.1428984,2024,Molecular genetic characterization of myeloid neoplasms with idic(X)(q13) and i(X)(q10).,CViSB,Kristian Andersen,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC11464256,https://pubmed.ncbi.nlm.nih.gov/39391249/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11464256/,https://doi.org/10.3389/fonc.2024.1428984,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39391249.url,papers/fulltext/inventory/oa/pmid-39391249.pdf,no,
pi-backlog,pmid-39384042,39384042,10.1016/j.jbc.2024.107871,2024,Cellular NS1-BP protein interacts with the mRNA export receptor NXF1 to mediate nuclear export of influenza virus M mRNAs.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: virus, viral, influenza, pathway",PMC11570952,https://pubmed.ncbi.nlm.nih.gov/39384042/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11570952/,https://doi.org/10.1016/j.jbc.2024.107871,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39384042.url,papers/fulltext/inventory/oa/pmid-39384042.pdf,no,
pi-backlog,pmid-39324493,39324493,10.1002/gcc.23272,2024,RUNX1::MIR99AHG Chimera in Acute Myeloid Leukemia.,CViSB,Kristian Andersen,high,low,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/39324493/,,https://doi.org/10.1002/gcc.23272,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-39324493.url,papers/fulltext/inventory/oa/pmid-39324493.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-39185168,39185168,10.1101/2024.08.13.607777,2024,Torsional Twist of the SARS-CoV and SARS-CoV-2 SUD-N and SUD-M domains.,HPMI,Melanie Ott,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC11343135,https://pubmed.ncbi.nlm.nih.gov/39185168/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11343135/,https://doi.org/10.1101/2024.08.13.607777,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39185168.url,papers/fulltext/inventory/oa/pmid-39185168.pdf,no,
pi-backlog,pmid-39149904,39149904,10.1093/nar/gkae704,2024,Sarbecovirus programmed ribosome frameshift RNA element folding studied by NMR spectroscopy and comparative analyses.,SYBIL,Adolfo Garcia-Sastre,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC11514460,https://pubmed.ncbi.nlm.nih.gov/39149904/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11514460/,https://doi.org/10.1093/nar/gkae704,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39149904.url,papers/fulltext/inventory/oa/pmid-39149904.pdf,no,
pi-backlog,pmid-39120141,39120141,10.1002/gcc.23262,2024,Genetic Heterogeneity in Cellular Angiofibromas.,CViSB,Kristian Andersen,high,high,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/39120141/,,https://doi.org/10.1002/gcc.23262,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-39120141.url,papers/fulltext/inventory/oa/pmid-39120141.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-39089348,39089348,10.1016/j.clim.2024.110333,2024,Patient subtyping analysis of baseline multi-omic data reveals distinct pre-immune states associated with antibody response to seasonal influenza vaccination.,SYBIL,Adolfo Garcia-Sastre,unknown,high,"viral context plus mechanism/resource terms: influenza, proteomics",PMC11340208,https://pubmed.ncbi.nlm.nih.gov/39089348/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11340208/,https://doi.org/10.1016/j.clim.2024.110333,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39089348.url,papers/fulltext/inventory/oa/pmid-39089348.pdf,no,
pi-backlog,pmid-39026801,39026801,10.1101/2024.07.10.602835,2024,Global siRNA Screen Reveals Critical Human Host Factors of SARS-CoV-2 Multicycle Replication.,SYBIL;HPMI,Adolfo Garcia-Sastre;Trey Ideker,candidate,high,"viral context plus mechanism/resource terms: virus, viral, coronavirus, sars, pathway, dependency",PMC11257544,https://pubmed.ncbi.nlm.nih.gov/39026801/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11257544/,https://doi.org/10.1101/2024.07.10.602835,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39026801.url,papers/fulltext/inventory/oa/pmid-39026801.pdf,no,
pi-backlog,pmid-38979204,38979204,10.1101/2024.06.24.600468,2024,Broad-spectrum RNA antiviral inspired by ISG15 (-/-) deficiency.,SYBIL,Adolfo Garcia-Sastre,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC11230275,https://pubmed.ncbi.nlm.nih.gov/38979204/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11230275/,https://doi.org/10.1101/2024.06.24.600468,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38979204.url,papers/fulltext/inventory/oa/pmid-38979204.pdf,no,
pi-backlog,pmid-38768348,38768348,10.1073/pnas.2314166121,2024,Inhibition of mRNA nuclear export promotes SARS-CoV-2 pathogenesis.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: viral, coronavirus, sars, pathway, interaction",PMC11145185,https://pubmed.ncbi.nlm.nih.gov/38768348/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11145185/,https://doi.org/10.1073/pnas.2314166121,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38768348.url,papers/fulltext/inventory/oa/pmid-38768348.pdf,no,
pi-backlog,pmid-38648902,38648902,10.1016/j.bbadis.2024.167193,2024,The IRE1α-XBP1 arm of the unfolded protein response is a host factor activated in SARS-CoV-2 infection.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,candidate,high,"viral context plus mechanism/resource terms: viral, sars, pathway, host factor",PMC12191402,https://pubmed.ncbi.nlm.nih.gov/38648902/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12191402/,https://doi.org/10.1016/j.bbadis.2024.167193,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38648902.url,papers/fulltext/inventory/oa/pmid-38648902.pdf,no,
pi-backlog,pmid-38571499,38571499,10.3389/fonc.2024.1371980,2024,NUP214 fusion genes in acute leukemias: genetic characterization of rare cases.,CViSB,Kristian Andersen,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC10987735,https://pubmed.ncbi.nlm.nih.gov/38571499/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10987735/,https://doi.org/10.3389/fonc.2024.1371980,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38571499.url,papers/fulltext/inventory/oa/pmid-38571499.pdf,no,
pi-backlog,pmid-38562892,38562892,10.1101/2024.03.18.24304401,2024,Integrated multiomics implicates dysregulation of ECM and cell adhesion pathways as drivers of severe COVID-associated kidney injury.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: sars, interaction, network, proteomics",PMC10984064,https://pubmed.ncbi.nlm.nih.gov/38562892/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10984064/,https://doi.org/10.1101/2024.03.18.24304401,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38562892.url,papers/fulltext/inventory/oa/pmid-38562892.pdf,no,
pi-backlog,pmid-38537997,38537997,10.21873/anticanres.16935,2024,Acute Lymphoblastic Leukemia With Near-haploid Karyotype and Philadelphia Chromosome.,CViSB,Kristian Andersen,high,low,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/38537997/,,https://doi.org/10.21873/anticanres.16935,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-38537997.url,papers/fulltext/inventory/oa/pmid-38537997.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-38411080,38411080,10.1128/mbio.02222-23,2024,CRISPR-Cas9 screen of E3 ubiquitin ligases identifies TRAF2 and UHRF1 as regulators of HIV latency in primary human T cells.,HPMI,Melanie Ott,candidate,high,"viral context plus mechanism/resource terms: virus, viral, hiv, pathway, proteomics, screen",PMC11005436,https://pubmed.ncbi.nlm.nih.gov/38411080/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11005436/,https://doi.org/10.1128/mbio.02222-23,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38411080.url,papers/fulltext/inventory/oa/pmid-38411080.pdf,no,
pi-backlog,pmid-38387978,38387978,10.1136/bmjopen-2023-080614,2024,PRECISION-TBI: a study protocol for a vanguard prospective cohort study to enhance understanding and management of moderate to severe traumatic brain injury in Australia.,CViSB,Ryan McNamara,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC10882309,https://pubmed.ncbi.nlm.nih.gov/38387978/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10882309/,https://doi.org/10.1136/bmjopen-2023-080614,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38387978.url,papers/fulltext/inventory/oa/pmid-38387978.pdf,no,
pi-backlog,pmid-38375062,38375062,10.1155/2024/6668017,2024,Upper Airway Epithelial Tissue Transcriptome Analysis Reveals Immune Signatures Associated with COVID-19 Severity in Ghanaians.,CViSB,Donald S Grant,candidate,low,"viral context plus mechanism/resource terms: coronavirus, sars, transcriptome",PMC10876312,https://pubmed.ncbi.nlm.nih.gov/38375062/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10876312/,https://doi.org/10.1155/2024/6668017,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38375062.url,papers/fulltext/inventory/oa/pmid-38375062.pdf,no,
pi-backlog,pmid-38328256,38328256,10.1101/2024.01.18.576213,2024,Patient Subtyping Analysis of Baseline Multi-omic Data Reveals Distinct Pre-immune States Predictive of Vaccination Responses.,SYBIL,Adolfo Garcia-Sastre,unknown,high,"viral context plus mechanism/resource terms: influenza, network, proteomics",PMC10849502,https://pubmed.ncbi.nlm.nih.gov/38328256/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10849502/,https://doi.org/10.1101/2024.01.18.576213,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38328256.url,papers/fulltext/inventory/oa/pmid-38328256.pdf,no,
pi-backlog,pmid-38306481,38306481,10.1073/pnas.2300644120,2024,Viral afterlife: SARS-CoV-2 as a reservoir of immunomimetic peptides that reassemble into proinflammatory supramolecular complexes.,UCLA-Persistent-BSI,Michael Yeaman,candidate,high,"viral context plus mechanism/resource terms: viral, coronavirus, sars, transcriptome",PMC10861912,https://pubmed.ncbi.nlm.nih.gov/38306481/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10861912/,https://doi.org/10.1073/pnas.2300644120,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38306481.url,papers/fulltext/inventory/oa/pmid-38306481.pdf,no,
pi-backlog,pmid-38151288,38151288,10.21873/cgp.20424,2024,Genetic Characterization of Pediatric Mixed Phenotype Acute Leukemia (MPAL).,CViSB,Kristian Andersen,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC10756350,https://pubmed.ncbi.nlm.nih.gov/38151288/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10756350/,https://doi.org/10.21873/cgp.20424,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38151288.url,papers/fulltext/inventory/oa/pmid-38151288.pdf,no,
pi-backlog,pmid-37833243,37833243,10.1002/minf.202300262,2024,A community effort in SARS-CoV-2 drug discovery.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: viral, sars, screen",PMC11299051,https://pubmed.ncbi.nlm.nih.gov/37833243/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11299051/,https://doi.org/10.1002/minf.202300262,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-37833243.url,papers/fulltext/inventory/oa/pmid-37833243.pdf,no,
hpmi,pmid-39763950,39763950,10.1101/2024.12.16.628616,2024,Tax1bp1 enhances bacterial virulence and promotes inflammatory responses during Mycobacterium tuberculosis infection of alveolar macrophages.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11702572,https://pubmed.ncbi.nlm.nih.gov/39763950/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11702572/,https://doi.org/10.1101/2024.12.16.628616,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39763950.url,papers/fulltext/inventory/oa/pmid-39763950.pdf,no,
hpmi,pmid-39571001,39571001,10.1371/journal.ppat.1012741,2024,SARS-CoV-2 evolution balances conflicting roles of N protein phosphorylation.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11620656,https://pubmed.ncbi.nlm.nih.gov/39571001/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11620656/,https://doi.org/10.1371/journal.ppat.1012741,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39571001.url,papers/fulltext/inventory/oa/pmid-39571001.pdf,no,
hpmi,pmid-39488835,39488835,10.1016/j.xpro.2024.103286,2024,Protocol for mapping differential protein-protein interaction networks using affinity purification-mass spectrometry.,HPMI,,candidate,low,candidate relevance plus virus/pathogen/assay support,PMC11567037,https://pubmed.ncbi.nlm.nih.gov/39488835/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11567037/,https://doi.org/10.1016/j.xpro.2024.103286,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39488835.url,papers/fulltext/inventory/oa/pmid-39488835.pdf,no,
hpmi,pmid-39395413,39395413,10.1016/j.cell.2024.09.020,2024,Genome integrity sensing by the broad-spectrum Hachiman antiphage defense complex.,HPMI,,high,low,explicit cross-virus/shared-host signal,PMC12278908,https://pubmed.ncbi.nlm.nih.gov/39395413/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12278908/,https://doi.org/10.1016/j.cell.2024.09.020,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39395413.url,papers/fulltext/inventory/oa/pmid-39395413.pdf,no,
hpmi,pmid-39198650,39198650,10.1038/s41586-024-07866-3,2024,Tuberculosis in otherwise healthy adults with inherited TNF deficiency.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11390478,https://pubmed.ncbi.nlm.nih.gov/39198650/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11390478/,https://doi.org/10.1038/s41586-024-07866-3,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39198650.url,papers/fulltext/inventory/oa/pmid-39198650.pdf,no,
hpmi,pmid-39197447,39197447,10.1016/j.cell.2024.07.057,2024,Animal and bacterial viruses share conserved mechanisms of immune evasion.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11455605,https://pubmed.ncbi.nlm.nih.gov/39197447/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11455605/,https://doi.org/10.1016/j.cell.2024.07.057,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39197447.url,papers/fulltext/inventory/oa/pmid-39197447.pdf,no,
hpmi,pmid-39187718,39187718,10.1038/s41586-024-07809-y,2024,Birth of protein folds and functions in the virome.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11410667,https://pubmed.ncbi.nlm.nih.gov/39187718/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11410667/,https://doi.org/10.1038/s41586-024-07809-y,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39187718.url,papers/fulltext/inventory/oa/pmid-39187718.pdf,no,
hpmi,pmid-39131396,39131396,10.1101/2024.07.31.606079,2024,CRISPR-Cas12a bends DNA to destabilize base pairs during target interrogation.,HPMI,,candidate,low,candidate relevance plus virus/pathogen/assay support,PMC11312533,https://pubmed.ncbi.nlm.nih.gov/39131396/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11312533/,https://doi.org/10.1101/2024.07.31.606079,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39131396.url,papers/fulltext/inventory/oa/pmid-39131396.pdf,no,
hpmi,pmid-39024454,39024454,10.1126/science.adl5763,2024,Multiscale photocatalytic proximity labeling reveals cell surface neighbors on and between cells.,HPMI,,candidate,low,candidate relevance plus virus/pathogen/assay support,PMC12517702,https://pubmed.ncbi.nlm.nih.gov/39024454/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12517702/,https://doi.org/10.1126/science.adl5763,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-39024454.url,papers/fulltext/inventory/oa/pmid-39024454.pdf,no,
hpmi,pmid-38961189,38961189,10.1038/s41598-024-66003-2,2024,NF-κB inhibitor alpha controls SARS-CoV-2 infection in ACE2-overexpressing human airway organoids.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11222426,https://pubmed.ncbi.nlm.nih.gov/38961189/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222426/,https://doi.org/10.1038/s41598-024-66003-2,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38961189.url,papers/fulltext/inventory/oa/pmid-38961189.pdf,no,
hpmi,pmid-38836816,38836816,10.4049/jimmunol.2300885,2024,Human Alveolar and Monocyte-Derived Human Macrophage Responses to Mycobacterium tuberculosis.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11610518,https://pubmed.ncbi.nlm.nih.gov/38836816/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11610518/,https://doi.org/10.4049/jimmunol.2300885,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38836816.url,papers/fulltext/inventory/oa/pmid-38836816.pdf,no,
hpmi,pmid-38800652,38800652,,2024,Mapping Differential Protein-Protein Interaction Networks using Affinity Purification Mass Spectrometry.,HPMI,,candidate,low,candidate relevance plus virus/pathogen/assay support,PMC11118664,https://pubmed.ncbi.nlm.nih.gov/38800652/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11118664/,,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38800652.url,papers/fulltext/inventory/oa/pmid-38800652.pdf,no,
hpmi,pmid-38781968,38781968,10.1016/j.cell.2024.04.031,2024,Rapid DNA unwinding accelerates genome editing by engineered CRISPR-Cas9.,HPMI,,candidate,low,candidate relevance plus virus/pathogen/assay support,PMC11658890,https://pubmed.ncbi.nlm.nih.gov/38781968/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11658890/,https://doi.org/10.1016/j.cell.2024.04.031,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38781968.url,papers/fulltext/inventory/oa/pmid-38781968.pdf,no,
hpmi,pmid-38587193,38587193,10.1093/nar/gkae256,2024,Assembly of SARS-CoV-2 nucleocapsid protein with nucleic acid.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11194069,https://pubmed.ncbi.nlm.nih.gov/38587193/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11194069/,https://doi.org/10.1093/nar/gkae256,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38587193.url,papers/fulltext/inventory/oa/pmid-38587193.pdf,no,
hpmi,pmid-38464307,38464307,10.1101/2024.02.29.582594,2024,Hachiman is a genome integrity sensor.,HPMI,,high,low,explicit cross-virus/shared-host signal,PMC10925250,https://pubmed.ncbi.nlm.nih.gov/38464307/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10925250/,https://doi.org/10.1101/2024.02.29.582594,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38464307.url,papers/fulltext/inventory/oa/pmid-38464307.pdf,no,
hpmi,pmid-38308100,38308100,10.1038/s41564-024-01605-0,2024,Author Correction: Autophagy restricts Mycobacterium tuberculosis during acute infection in mice.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC11222042,https://pubmed.ncbi.nlm.nih.gov/38308100/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222042/,https://doi.org/10.1038/s41564-024-01605-0,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38308100.url,papers/fulltext/inventory/oa/pmid-38308100.pdf,no,
hpmi,pmid-38117589,38117589,10.1091/mbc.E23-06-0260,2024,Cross-family small GTPase ubiquitination by the intracellular pathogen Legionella pneumophila.,HPMI,,candidate,low,candidate relevance plus virus/pathogen/assay support,PMC10916871,https://pubmed.ncbi.nlm.nih.gov/38117589/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10916871/,https://doi.org/10.1091/mbc.E23-06-0260,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-38117589.url,papers/fulltext/inventory/oa/pmid-38117589.pdf,no,
