paper_id,pmid,year,title,abstract_excerpt,center,pi_candidates,pathogens,viruses,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,review_status,notes
pmid-39484236,39484236,2024,Humoral waning kinetics against SARS-CoV-2 is dictated by disease severity and vaccine platform.,"SARS-CoV-2 vaccine-acquired immunity provides robust cross-variant recognition, while infection-acquired immunity can be heterogenous, with disease severity often modulating post-recovery responses. We assessed antibody waning dynamics between infection- and vaccination-acquir...",SYBIL,Ryan McNamara;Rafael Medina,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-39475648,39475648,2024,Robust extraction of pneumonia-associated clinical states from electronic health records.,"Mining of electronic health records (EHR) promises to automate the identification of comprehensive disease phenotypes. However, the realization of this promise is hindered by the unavailability of generalizable ground-truth information, data incompleteness and heterogeneity, a...",,,,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-39390446,39390446,2024,Emergence of the B.1.214.2 SARS-CoV-2 lineage with an Omicron-like spike insertion and a unique upper airway immune signature.,"We investigate the emergence, mutation profile, and dissemination of SARS-CoV-2 lineage B.1.214.2, first identified in Belgium in January 2021. This variant, featuring a 3-amino acid insertion in the spike protein similar to the Omicron variant, was speculated to enhance trans...",,,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-39367123,39367123,2024,Profibrotic monocyte-derived alveolar macrophages are expanded in patients with persistent respiratory symptoms and radiographic abnormalities after COVID-19.,Monocyte-derived alveolar macrophages drive lung injury and fibrosis in murine models and are associated with pulmonary fibrosis in humans. Monocyte-derived alveolar macrophages have been suggested to develop a phenotype that promotes lung repair as injury resolves. We compare...,CViSB,Donald S Grant,,sars-cov-2;influenza,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-39314979,39314979,2024,Antibiotic De-escalation Patterns and Outcomes in Critically Ill Patients with Suspected Pneumonia as Informed by Bronchoalveolar Lavage Results.,"BACKGROUND: Antibiotic stewardship in critically ill pneumonia patients is crucial yet challenging, partly due to the limited diagnostic yield of noninvasive infectious tests. In this study, we report an antibiotic prescription pattern informed by bronchoalveolar lavage (BAL)...",SCRIPT,Richard Wunderink,,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,older paper with relevant terms: viral,pending,
pmid-39303692,39303692,2024,Genetic tracing of market wildlife and viruses at the epicenter of the COVID-19 pandemic.,"Zoonotic spillovers of viruses have occurred through the animal trade worldwide. The start of the COVID-19 pandemic was traced epidemiologically to the Huanan Seafood Wholesale Market. Here, we analyze environmental qPCR and sequencing data collected in the Huanan market in ea...",CViSB,Robert Garry;Kristian Andersen,,sars-cov-2;sars-cov,,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,medium,"older paper with relevant terms: viral, coronavirus",pending,
pmid-39255040,39255040,2024,Antibiotic use during influenza infection augments lung eosinophils that impair immunity against secondary bacterial pneumonia.,"A leading cause of mortality after influenza infection is the development of a secondary bacterial pneumonia. In the absence of a bacterial superinfection, prescribing antibacterial therapies is not indicated but has become a common clinical practice for those presenting with...",SCRIPT,Richard Wunderink,staphylococcus_aureus,influenza,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,older paper with relevant terms: viral,pending,
pmid-39229171,39229171,2024,Pseudomonas aeruginosa population dynamics in a vancomycin-induced murine model of gastrointestinal carriage.,Pseudomonas aeruginosa is a common nosocomial pathogen and a major cause of morbidity and mortality in hospitalized patients. Multiple reports highlight that P. aeruginosa gastrointestinal colonization may precede systemic infections by this pathogen. Gaining a deeper insight...,SCRIPT,Richard Wunderink;Alan Hauser,pseudomonas_aeruginosa,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: pathogen,pending,
pmid-39224511,39224511,2024,Compartment-specific antibody correlates of protection to SARS-CoV-2 Omicron in macaques.,"Antibodies represent a primary mediator of protection against respiratory viruses. Serum neutralizing antibodies (NAbs) are often considered a primary correlate of protection. However, detailed antibody profiles including characterization of antibody functions in different ana...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: coronavirus,pending,
pmid-39213326,39213326,2024,The global population stru cture of Lacticaseibacillus rhamnosus and its application to an investigation of a rare case of infective endocarditis.,"BACKGROUND: Lacticaseibacillus (formerly Lactobacillus) rhamnosus is widely used in probiotics or food supplements to promote microbiome health and may also be part of the normal microbiota of the human gastrointestinal tract. However, it rarely also causes invasive or severe...",SCRIPT,Alan Hauser,,,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-39213155,39213155,2024,SARS-CoV-2 infection prior to vaccination amplifies Fc-mediated humoral profiles in an age-dependent manner.,"Immunity acquired by vaccination following infection, termed hybrid immunity, has been shown to confer enhanced protection against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by enhancing the breadth and potency of immune responses. Here, we assess Fc-mediated...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: coronavirus,pending,
pmid-39179693,39179693,2024,Evolution of SARS-CoV-2 in the murine central nervous system drives viral diversification.,"Severe coronavirus disease 2019 and post-acute sequelae of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection are associated with neurological complications that may be linked to direct infection of the central nervous system (CNS), but the selective pressu...",,,,sars-cov-2;sars-cov,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, coronavirus",pending,
pmid-39169236,39169236,2024,Phenotype and specificity of lung T cell responses correlate with outcome in SARS-CoV-2 pneumonia.,,,,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-39148859,39148859,2024,Transitions in lung microbiota landscape associate with distinct patterns of pneumonia progression.,"The precise microbial determinants driving clinical outcomes in severe pneumonia are unknown. Competing ecological forces produce dynamic microbiota states in health; infection and treatment effects on microbiota state must be defined to improve pneumonia therapy. Here, we lev...",SCRIPT,Alan Hauser;Richard Wunderink,,,transcriptomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: host,pending,
pmid-39138384,39138384,2024,Distinctive evolution of alveolar T cell responses is associated with clinical outcomes in unvaccinated patients with SARS-CoV-2 pneumonia.,"The evolution of T cell molecular signatures in the distal lung of patients with severe pneumonia is understudied. Here, we analyzed T cell subsets in longitudinal bronchoalveolar lavage fluid samples from 273 patients with severe pneumonia, including unvaccinated patients inf...",CViSB,Donald S Grant;Richard Wunderink,,sars-cov-2;sars-cov;influenza,,primary_research,candidate,relevant viral/host/pathway terms matched: pathway,medium,older paper with relevant terms: coronavirus,pending,
pmid-39013466,39013466,2024,Deep mutational scanning reveals functional constraints and antibody-escape potential of Lassa virus glycoprotein complex.,"Lassa virus is estimated to cause thousands of human deaths per year, primarily due to spillovers from its natural host, Mastomys rodents. Efforts to create vaccines and antibody therapeutics must account for the evolutionary variability of the Lassa virus's glycoprotein compl...",CViSB,Kristian Andersen,,,,methods,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, host",pending,
pmid-39006420,39006420,2024,"Dispersal history of SARS-CoV-2 variants Alpha, Delta, and Omicron (BA.1) in Spain.","Different factors influence the spread of SARS-CoV-2, from the inherent transmission capabilities of the different variants to the control measurements put in place. Here we studied the introduction of the Alpha, Delta, and Omicron-BA.1 variants of concern (VOCs) into Spain. F...",,,,sars-cov-2;sars-cov;influenza,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
pmid-39001278,39001278,2024,The Impact of Next-Generation Sequencing Added to Multiplex PCR on Antibiotic Stewardship in Critically Ill Patients with Suspected Pneumonia.,"INTRODUCTION: In patients with suspected pneumonia who are tested with respiratory culture and multiplex PCR, the potential added benefit of next-generation sequencing technologies is unknown. METHODS: This was a single-center, retrospective study in which residual bronchoalve...",SCRIPT,Richard Wunderink,,,,review,candidate,relevant viral/host/pathway terms matched: virus,medium,"older paper with relevant terms: virus, pathogen",pending,
pmid-38964363,38964363,2024,Lassa fever research priorities: towards effective medical countermeasures by the end of the decade.,"In 2016, WHO designated Lassa fever a priority disease for epidemic preparedness as part of the WHO Blueprint for Action to Prevent Epidemics. One aspect of preparedness is to promote development of effective medical countermeasures (ie, diagnostics, therapeutics, and vaccines...",CViSB,Melissa Johnson;Robert Garry;Donald S Grant,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38947052,38947052,2024,Genomic epidemiology uncovers the timing and origin of the emergence of mpox in humans.,"Five years before the 2022-2023 global mpox outbreak Nigeria reported its first cases in nearly 40 years, with the ongoing epidemic since driven by sustained human-to-human transmission. However, limited genomic data has left questions about the timing and origin of the mpox v...",CViSB,Kristian Andersen,,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, pathogen",pending,
pmid-38947021,38947021,2024,Molecular epidemiology of recurrent zoonotic transmission of mpox virus in West Africa.,"Nigeria and Cameroon reported their first mpox cases in over three decades in 2017 and 2018 respectively. The outbreak in Nigeria is recognised as an ongoing human epidemic. However, owing to sparse surveillance and genomic data, it is not known whether the increase in cases i...",CViSB,Kristian Andersen,,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-38947010,38947010,2024,Evolution of the Umbilical Cord Blood Proteome Across Gestational Development.,"Neonatal health is dependent on early risk stratification, diagnosis, and timely management of potentially devastating conditions, particularly in the setting of prematurity. Many of these conditions are poorly predicted in real-time by clinical data and current diagnostics. U...",,,,,proteomics,primary_research,candidate,relevant viral/host/pathway terms matched: proteome,low,no strong literature-priority keywords matched,pending,
pmid-38940448,38940448,2024,"Dispersal history of SARS-CoV-2 in Galicia, Spain.","The dynamics of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) transmission are influenced by a variety of factors, including social restrictions and the emergence of distinct variants. In this study, we delve into the origins and dissemination of the Alpha, Delt...",,,,sars-cov-2;sars-cov;influenza,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, coronavirus",pending,
pmid-38853959,38853959,2024,FOXP3+ Regulatory T Cells Require TBET to Regulate Activated CD8+ T Cells During Recovery from Influenza Infection.,"FOXP3+ regulatory T (Treg) cells are necessary to coordinate resolution of lung inflammation and a return to homeostasis after respiratory viral infections, but the specific molecular requirements for these functions and the cell types governed by Treg cells remain unclear. Th...",,,,influenza,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,older paper with relevant terms: viral,pending,
pmid-38848216,38848216,2024,Deep repertoire mining uncovers ultra-broad coronavirus neutralizing antibodies targeting multiple spike epitopes.,"The development of vaccines and therapeutics that are broadly effective against known and emergent coronaviruses is an urgent priority. We screened the circulating B cell repertoires of COVID-19 survivors and vaccinees to isolate over 9,000 severe acute respiratory syndrome co...",,,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: coronavirus,pending,
pmid-38801652,38801652,2024,Ebola Virus-Specific Neutralizing Antibody Persists at High Levels in Survivors 2 Years After Resolution of Disease in a Sierra Leonean Cohort.,"Ebola virus (EBOV) infection results in Ebola virus disease (EVD), an often severe disease with a nonspecific presentation. Since its recognition, periodic outbreaks of EVD continue to occur in sub-Saharan Africa. The 2013-2016 West African EVD outbreak was the largest recorde...",CViSB,Robert Garry;Donald S Grant,,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
pmid-38800360,38800360,2024,Improving antibody language models with native pairing.,Existing antibody language models are limited by their use of unpaired antibody sequence data. A recently published dataset of ∼1.6 × 106 natively paired human antibody sequences offers a unique opportunity to evaluate how antibody language models are improved by training with...,,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: pathogen,pending,
pmid-38766045,38766045,2024,Neutrophil percentages in bronchoalveolar lavage fluid: Implications for diagnosing bacterial pneumonia in patients with immunocompromise and neutropenia.,RATIONALE: Pneumonia is the most common infection in ICU patients and a leading cause for death. Assessment of bronchoalveolar lavage fluid (BALF) cellularity can aid in pneumonia diagnosis. Low percentages (<50%) of BALF neutrophils have a high negative predictive value for b...,SCRIPT,Richard Wunderink,,influenza,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38643200,38643200,2024,Deviations in RSV epidemiological patterns and population structures in the United States following the COVID-19 pandemic.,"Respiratory Syncytial Virus (RSV) is a leading cause of acute respiratory tract infection, with the greatest impact on infants, immunocompromised individuals, and older adults. RSV prevalence decreased substantially in the United States (US) following the implementation of COV...",,,,sars-cov-2;rsv,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
pmid-38559244,38559244,2024,Integrating dynamical modeling and phylogeographic inference to characterize global influenza circulation.,"Global seasonal influenza circulation involves a complex interplay between local (seasonality, demography, host immunity) and global factors (international mobility) shaping recurrent epidemic patterns. No studies so far have reconciled the two spatial levels, evaluating the c...",,,,influenza,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: host,pending,
pmid-38551979,38551979,2024,Scalable gradients enable Hamiltonian Monte Carlo sampling for phylodynamic inference under episodic birth-death-sampling models.,"Birth-death models play a key role in phylodynamic analysis for their interpretation in terms of key epidemiological parameters. In particular, models with piecewise-constant rates varying at different epochs in time, to which we refer as episodic birth-death-sampling (EBDS) m...",,,,influenza;hiv,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-38546716,38546716,2024,Meta-Research: Understudied genes are lost in a leaky pipeline between genome-wide assays and reporting of results.,"Present-day publications on human genes primarily feature genes that already appeared in many publications prior to completion of the Human Genome Project in 2003. These patterns persist despite the subsequent adoption of high-throughput technologies, which routinely identify...",,,,influenza,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38502186,38502186,2024,Prolonged exposure to lung-derived cytokines is associated with activation of microglia in patients with COVID-19.,"BACKGROUNDSurvivors of pneumonia, including SARS-CoV-2 pneumonia, are at increased risk for cognitive dysfunction and dementia. In rodent models, cognitive dysfunction following pneumonia has been linked to the systemic release of lung-derived pro-inflammatory cytokines. Micro...",CViSB,Donald S Grant;Richard Wunderink,,sars-cov-2;sars-cov;influenza,transcriptomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38464001,38464001,2024,Compartment-Specific Antibody Correlates of Protection to SARS-CoV-2 Omicron in Macaques.,"Antibodies represent a primary mediator of protection against respiratory viruses such as SARS-CoV-2. Serum neutralizing antibodies (NAbs) are often considered a primary correlate of protection. However, detailed antibody profiles including characterization of antibody functio...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38463998,38463998,2024,"Dispersal history of SARS-CoV-2 in Galicia, Spain.","The dynamics of SARS-CoV-2 transmission are influenced by a variety of factors, including social restrictions and the emergence of distinct variants. In this study, we delve into the origins and dissemination of the Alpha, Delta, and Omicron variants of concern in Galicia, nor...",,,,sars-cov-2;sars-cov;influenza,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-38453939,38453939,2024,A SWI/SNF-dependent transcriptional regulation mediated by POU2AF2/C11orf53 at enhancer.,"Recent studies have identified a previously uncharacterized protein C11orf53 (now named POU2AF2/OCA-T1), which functions as a robust co-activator of POU2F3, the master transcription factor which is critical for both normal and neoplastic tuft cell identity and viability. Here,...",,,,,crispr_screen;epigenomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: crispr,medium,"older paper with relevant terms: crispr, screen",pending,
pmid-38446806,38446806,2024,"Genomic characterization of SARS-CoV-2 in Guinea, West Africa.","SARS-CoV-2 has claimed several million lives since its emergence in late 2019. The ongoing evolution of the virus has resulted in the periodic emergence of new viral variants with distinct fitness advantages, including enhanced transmission and immune escape. While several SAR...",,,,sars-cov-2;sars-cov,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-38428427,38428427,2024,Mediator complex subunit 1 architects a tumorigenic Treg cell program independent of inflammation.,"While immunotherapy has revolutionized cancer treatment, its safety has been hampered by immunotherapy-related adverse events. Unexpectedly, we show that Mediator complex subunit 1 (MED1) is required for T regulatory (Treg) cell function specifically in the tumor microenvironm...",,,,,,primary_research,candidate,relevant viral/host/pathway terms matched: pathway,low,no strong literature-priority keywords matched,pending,
pmid-38386777,38386777,2024,Tissue-Resident Alveolar Macrophages Reduce Ozone-induced Inflammation via MerTK-mediated Efferocytosis.,"Lung inflammation, caused by acute exposure to ozone (O3), one of the six criteria air pollutants, is a significant source of morbidity in susceptible individuals. Alveolar macrophages (AMØs) are the most abundant immune cells in the normal lung, and their number increases aft...",,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38383504,38383504,2024,Novel subtypes of severe COVID-19 respiratory failure based on biological heterogeneity: a secondary analysis of a randomized controlled trial.,"BACKGROUND: Despite evidence associating inflammatory biomarkers with worse outcomes in hospitalized adults with COVID-19, trials of immunomodulatory therapies have met with mixed results, likely due in part to biological heterogeneity of participants. Latent class analysis (L...",,,,sars-cov-2,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38370841,38370841,2024,An observational cohort study of bronchoalveolar lavage fluid galactomannan and Aspergillus culture positivity in patients requiring mechanical ventilation.,"RATIONALE: Critically ill patients who develop invasive pulmonary aspergillosis (IPA) have high mortality rates despite antifungal therapy. Diagnosis is difficult in these patients. Bronchoalveolar lavage (BAL) fluid galactomannan (GM) is a helpful marker of infection, althoug...",SCRIPT,Richard Wunderink,,influenza,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38370709,38370709,2024,Deep mutational scanning reveals functional constraints and antigenic variability of Lassa virus glycoprotein complex.,"Lassa virus is estimated to cause thousands of human deaths per year, primarily due to spillovers from its natural host, Mastomys rodents. Efforts to create vaccines and antibody therapeutics must account for the evolutionary variability of Lassa virus's glycoprotein complex (...",CViSB,Kristian Andersen,,,,methods,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, host",pending,
pmid-38365222,38365222,2024,Culturing the Future of Medicine: The Imperative of Strengthening the Infectious Diseases Physician-Scientist Pipeline.,,,,,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38360726,38360726,2024,Transcriptional profiling of peripheral blood mononuclear cells identifies inflammatory phenotypes in Ataxia Telangiectasia.,"INTRODUCTION: Ataxia telangiectasia (A-T) is an autosomal recessive neurodegenerative disease with widespread systemic manifestations and marked variability in clinical phenotypes. In this study, we sought to determine whether transcriptomic profiling of peripheral blood monon...",,,,,transcriptomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38326571,38326571,2024,Genome-wide association study identifies human genetic variants associated with fatal outcome from Lassa fever.,"Infection with Lassa virus (LASV) can cause Lassa fever, a haemorrhagic illness with an estimated fatality rate of 29.7%, but causes no or mild symptoms in many individuals. Here, to investigate whether human genetic variation underlies the heterogeneity of LASV infection, we...",CViSB,Kristian Andersen;Donald S Grant;Robert Garry,,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-38301954,38301954,2024,Activity and inhibition of the SARS-CoV-2 Omicron nsp13 R392C variant using RNA duplex unwinding assays.,"SARS-CoV-2 nsp13 helicase is an essential enzyme for viral replication and a promising target for antiviral drug development. This study compares the double-stranded RNA (dsRNA) unwinding activity of nsp13 and the Omicron nsp13R392C variant, which is predominant in currently c...",,,,sars-cov-2;sars-cov;influenza,,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,medium,"older paper with relevant terms: viral, screen",pending,
pmid-38291080,38291080,2024,Humoral profiles of toddlers and young children following SARS-CoV-2 mRNA vaccination.,"Although young children generally experience mild symptoms following infection with SARS-CoV-2, severe acute and long-term complications can occur. SARS-CoV-2 mRNA vaccines elicit robust immunoglobulin profiles in children ages 5 years and older, and in adults, corresponding w...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38280377,38280377,2024,Monoclonal antibody therapy protects nonhuman primates against mucosal exposure to Lassa virus.,"Lassa fever (LF) is an acute viral illness that causes thousands of deaths annually in West Africa. There are currently no Lassa virus (LASV) vaccines or antivirals approved for human use. Recently, we showed that combinations of broadly neutralizing human monoclonal antibodie...",CViSB,Robert Garry,,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-38243701,38243701,2024,Many-core algorithms for high-dimensional gradients on phylogenetic trees.,"MOTIVATION: Advancements in high-throughput genomic sequencing are delivering genomic pathogen data at an unprecedented rate, positioning statistical phylogenetics as a critical tool to monitor infectious diseases globally. This rapid growth spurs the need for efficient infere...",,,,dengue,,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, pathogen",pending,
pmid-38232695,38232695,2024,Integration of individualized and population-level molecular epidemiology data to model COVID-19 outcomes.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants with enhanced transmissibility and immune escape have emerged periodically throughout the coronavirus disease 2019 (COVID-19) pandemic, but the impact of these variants on disease severity has remained uncle...",,,,sars-cov-2;sars-cov,,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,medium,"older paper with relevant terms: viral, coronavirus",pending,
pmid-38132670,38132670,2024,Phenotypes of a Pseudomonas aeruginosa hypermutator lineage that emerged during prolonged mechanical ventilation in a patient without cystic fibrosis.,Hypermutator lineages of Pseudomonas aeruginosa arise frequently during the years of airway infection experienced by patients with cystic fibrosis and bronchiectasis but are rare in the absence of chronic infection and structural lung disease. Since the onset of the COVID-19 p...,SCRIPT,Alan Hauser,pseudomonas_aeruginosa,sars-cov-2,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38112418,38112418,2024,Understanding Fc function for rational vaccine design against pathogens.,"Antibodies represent the primary correlate of immunity following most clinically approved vaccines. However, their mechanisms of action vary from pathogen to pathogen, ranging from neutralization, to opsonophagocytosis, to cytotoxicity. Antibody functions are regulated both by...",CViSB,Ryan McNamara,,influenza,,primary_research,candidate,relevant viral/host/pathway terms matched: interaction,medium,"older paper with relevant terms: pathogen, interaction",pending,
pmid-38078770,38078770,2024,Comparative evolution of influenza A virus H1 and H3 head and stalk domains across host species.,"For decades, researchers have studied the rapid evolution of influenza A viruses for vaccine design and as a useful model system for the study of host/parasite evolution. By performing an exhaustive analysis of hemagglutinin protein (HA) sequences from 49 lineages independentl...",,,,influenza,,review,high,explicit cross-virus/shared-host language: comparative,medium,"older paper with relevant terms: virus, host",pending,
pmid-37977230,37977230,2024,Temporal correlation between postreperfusion complement deposition and severe primary graft dysfunction in lung allografts.,"Growing evidence implicates complement in the pathogenesis of primary graft dysfunction (PGD). We hypothesized that early complement activation postreperfusion could predispose to severe PGD grade 3 (PGD-3) at 72 hours, which is associated with worst posttransplant outcomes. C...",,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-37804247,37804247,2024,The Third Annual Symposium of the Midwest Aging Consortium.,"The geroscience hypothesis suggests that addressing the fundamental mechanisms driving aging biology will prevent or mitigate the onset of multiple chronic diseases, for which the largest risk factor is advanced age. Research that investigates the root causes of aging is there...",,,,influenza,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
pmid-37776284,37776284,2024,Reply: Research Bronchoscopy Standards and the Need for Noninvasive Sampling of the Failing Lungs.,,,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-36909550,36909550,2024,Meta-Research: understudied genes are lost in a leaky pipeline between genome-wide assays and reporting of results.,"Present-day publications on human genes primarily feature genes that already appeared in many publications prior to completion of the Human Genome Project in 2003. These patterns persist despite the subsequent adoption of high-throughput technologies, which routinely identify...",,,,influenza,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-42281764,42281764,2023,"A Privacy Nihilist Perspective on Clinical Data Sharing: Open Clinical Data Sharing is Dead, Long Live the Walled Garden.","Clinical data sharing, combined with deep learning, and soon quantum computing, has the potential to radically accelerate research, improve health care, and lower costs. Unfortunately, those tools also make it much easier to use the data in ways that can harm patients. This ar...",,,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38770434,38770434,2023,Shrinkage with shrunken shoulders: Gibbs sampling shrinkage model posteriors with guaranteed convergence rates.,"Use of continuous shrinkage priors - with a ""spike"" near zero and heavy-tails towards infinity - is an increasingly popular approach to induce sparsity in parameter estimates. When the parameters are only weakly identified by the likelihood, however, the posterior may end up w...",,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38550789,38550789,2023,"Prior-Preconditioned Conjugate Gradient Method for Accelerated Gibbs Sampling in ""Large n, Large p"" Bayesian Sparse Regression.","In a modern observational study based on healthcare databases, the number of observations and of predictors typically range in the order of 105-106 and of 104-105. Despite the large sample size, data rarely provide sufficient information to reliably estimate such a large numbe...",,,,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-38168346,38168346,2023,A distinctive evolution of alveolar T cell responses is associated with clinical outcomes in unvaccinated patients with SARS-CoV-2 pneumonia.,"Pathogen clearance and resolution of inflammation in patients with pneumonia require an effective local T cell response. Nevertheless, local T cell activation may drive lung injury, particularly during prolonged episodes of respiratory failure characteristic of severe SARS-CoV...",CViSB,Donald S Grant;Richard Wunderink,,sars-cov-2;sars-cov;influenza,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: pathogen,pending,
pmid-38168164,38168164,2023,Altered RSV Epidemiology and Genetic Diversity Following the COVID-19 Pandemic.,"Respiratory Syncytial Virus (RSV) is a leading cause of acute respiratory tract infection, with greatest impact on infants, immunocompromised individuals, and older adults. RSV prevalence decreased substantially following the implementation of non-pharmaceutical interventions...",,,,sars-cov-2;rsv,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
