source_collection,paper_id,pmid,doi,year,center,title,pi_candidates,subset_reason,virus_or_pathogen,assay_types,cross_virus_relevance,priority
current-program,pmid-38112418,38112418,10.1128/mbio.03036-23,2024,CViSB,Understanding Fc function for rational vaccine design against pathogens.,Ryan McNamara,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-38078770,38078770,10.1128/mbio.02649-23,2024,,Comparative evolution of influenza A virus H1 and H3 head and stalk domains across host species.,,explicit cross-virus/shared-host signal,influenza,,high,medium
current-program,pmid-37804247,37804247,10.1093/gerona/glad239,2024,,The Third Annual Symposium of the Midwest Aging Consortium.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
pi-backlog,pmid-37983398,37983398,10.1097/ACM.0000000000005355,2023,HPMI,Set Up to Fail? Barriers Impeding Resident Communication Training in Neonatal Intensive Care Units.,Melanie Ott,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-37889065,37889065,10.21873/cgp.20405,2023,CViSB,Pathogenetic Dichotomy in Angioleiomyoma.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-37886564,37886564,10.21203/rs.3.rs-3390128/v1,2023,UCLA-Persistent-BSI,Transcriptomic Analysis Pipeline (TAP) for quality control and functional assessment of transcriptomes.,Scott Filler,explicit cross-virus or shared-host framing in title/abstract,,transcriptomics,high,low
pi-backlog,pmid-37693943,37693943,10.1016/j.omtm.2023.08.015,2023,HPMI,Modifying immune responses to adeno-associated virus vectors by capsid engineering.,Melanie Ott,"viral context plus mechanism/resource terms: virus, interaction",,,candidate,medium
pi-backlog,pmid-37400148,37400148,10.21873/cgp.20388,2023,CViSB,Genetic Pathways in Peritoneal Mesothelioma Tumorigenesis.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,medium
pi-backlog,pmid-37400142,37400142,10.21873/cgp.20387,2023,CViSB,Acute Undifferentiated Leukemia With a Balanced t(5;10)(q35;p12) Resulting in Fusion of HNRNPH1 With MLLT10.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-37289427,37289427,10.2807/1560-7917.ES.2023.28.23.2200740,2023,CViSB,"Establishing severe acute respiratory infection (SARI) surveillance in a sentinel hospital, Ireland, 2021 to 2022.",Ryan McNamara,"viral context plus mechanism/resource terms: virus, viral, influenza, sars, rsv, network",sars-cov-2;sars-cov;influenza;rsv,network_modeling,candidate,medium
pi-backlog,pmid-37025664,37025664,10.1039/d3ra00426k,2023,HPMI,A covalent inhibitor targeting the papain-like protease from SARS-CoV-2 inhibits viral replication.,Melanie Ott,"viral context plus mechanism/resource terms: viral, sars, screen",sars-cov-2;sars-cov,,candidate,medium
pi-backlog,pmid-36897778,36897778,10.1016/j.celrep.2023.112234,2023,HPMI,The lysine methyltransferase SMYD5 amplifies HIV-1 transcription and is post-transcriptionally upregulated by Tat and USP11.,Melanie Ott,"viral context plus mechanism/resource terms: viral, hiv, host factor",hiv,,candidate,medium
pi-backlog,pmid-36832096,36832096,10.3390/diagnostics13040608,2023,SYBIL,Comparative Study of the Impact of Human Leukocyte Antigens on Renal Transplant Survival in Andalusia and the United States.,Rafael Medina,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-36827975,36827975,10.1016/j.stemcr.2023.01.011,2023,HPMI,"SARS-CoV-2 infection of airway organoids reveals conserved use of Tetraspanin-8 by Ancestral, Delta, and Omicron variants.",Melanie Ott,"viral context plus mechanism/resource terms: viral, coronavirus, sars, interaction",sars-cov-2;sars-cov;coronavirus,,candidate,medium
pi-backlog,pmid-36581344,36581344,10.21873/cgp.20364,2023,CViSB,Novel MYCBP::EHD2 and RUNX1::ZNF780A Fusion Genes in T-cell Acute Lymphoblastic Leukemia.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-36241425,36241425,10.26508/lsa.202201449,2023,HPMI,Low expression of EXOSC2 protects against clinical COVID-19 and impedes SARS-CoV-2 replication.,Nevan Krogan,"viral context plus mechanism/resource terms: virus, viral, sars, interaction",sars-cov-2;sars-cov,crispr_screen,candidate,medium
pi-backlog,pmid-35976053,35976053,10.1002/hep.32733,2023,HPMI,Adeno-associated virus serotype 2 capsid variants for improved liver-directed gene therapy.,Melanie Ott,"viral context plus mechanism/resource terms: virus, screen",,,candidate,medium
hpmi,pmid-38045338,38045338,10.1101/2023.11.22.568361,2023,HPMI,Assembly reactions of SARS-CoV-2 nucleocapsid protein with nucleic acid.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,protein_interaction_mapping,candidate,medium
hpmi,pmid-37857833,37857833,10.1038/s41556-023-01248-z,2023,HPMI,A Legionella toxin exhibits tRNA mimicry and glycosyl transferase activity to target the translation machinery and trigger a ribotoxic stress response.,,candidate relevance plus virus/pathogen/assay support,legionella_pneumophila,structural_biology,candidate,low
hpmi,pmid-37758692,37758692,10.1038/s41467-023-41442-z,2023,HPMI,Proteomic and genetic analyses of influenza A viruses identify pan-viral host targets.,,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov;coronavirus;influenza,protein_interaction_mapping;proteomics,high,medium
hpmi,pmid-37738983,37738983,10.1016/j.chom.2023.08.003,2023,HPMI,Impact of SARS-CoV-2 ORF6 and its variant polymorphisms on host responses and viral pathogenesis.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,,candidate,medium
hpmi,pmid-37738970,37738970,10.1016/j.cell.2023.08.026,2023,HPMI,SARS-CoV-2 variants evolve convergent strategies to remodel the host response.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,protein_interaction_mapping;proteomics,candidate,medium
hpmi,pmid-37651466,37651466,10.1371/journal.ppat.1011614,2023,HPMI,A single inactivating amino acid change in the SARS-CoV-2 NSP3 Mac1 domain attenuates viral replication in vivo.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
hpmi,pmid-37577546,37577546,10.1101/2023.08.03.551750,2023,HPMI,Cross-family small GTPase ubiquitination by the intracellular pathogen Legionella pneumophila.,,candidate relevance plus virus/pathogen/assay support,legionella_pneumophila,,candidate,low
hpmi,pmid-37352334,37352334,10.1371/journal.ppat.1011088,2023,HPMI,"Deficiency in Galectin-3, -8, and -9 impairs immunity to chronic Mycobacterium tuberculosis infection but not acute infection with multiple intracellular pathogens.",,candidate relevance plus virus/pathogen/assay support,influenza;mycobacterium_tuberculosis,,candidate,medium
hpmi,pmid-37037941,37037941,10.1038/s41564-023-01354-6,2023,HPMI,Autophagy restricts Mycobacterium tuberculosis during acute infection in mice.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,,candidate,medium
hpmi,pmid-36782050,36782050,10.1038/s41594-022-00918-0,2023,HPMI,Structure and dynamics of the essential endogenous mycobacterial polyketide synthase Pks13.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,proteomics;structural_biology,candidate,medium
hpmi,pmid-35298864,35298864,10.1111/febs.16435,2023,HPMI,Integrative structure determination of histones H3 and H4 using genetic interactions.,,candidate relevance plus virus/pathogen/assay support,,structural_biology;genome_editing,candidate,medium
current-program,pmid-38168164,38168164,10.21203/rs.3.rs-3712859/v1,2023,,Altered RSV Epidemiology and Genetic Diversity Following the COVID-19 Pandemic.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;rsv,,candidate,medium
current-program,pmid-38076988,38076988,10.1101/2023.11.29.568904,2023,,AMP-activated protein kinase is necessary for Treg cell functional adaptation to microenvironmental stress.,,candidate relevance plus virus/pathogen/assay support,influenza,epigenomics,candidate,medium
current-program,pmid-37995357,37995357,10.1093/jac/dkad309,2023,,SARS-CoV-2 genomics and impact on clinical care for COVID-19.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza;hiv,,candidate,medium
current-program,pmid-37961423,37961423,10.1101/2023.10.31.564882,2023,,Scalable gradients enable Hamiltonian Monte Carlo sampling for phylodynamic inference under episodic birth-death-sampling models.,,candidate relevance plus virus/pathogen/assay support,influenza;hiv,,candidate,medium
current-program,pmid-37950885,37950885,10.1093/molbev/msad242,2023,,Shrinkage-based Random Local Clocks with Scalable Inference.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-37901225,37901225,10.3389/fimmu.2023.1251120,2023,,Hypercapnia increases ACE2 expression and pseudo-SARS-CoV-2 entry in bronchial epithelial cells by augmenting cellular cholesterol.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-37891657,37891657,10.1186/s12985-023-02186-w,2023,,Resurgence of SARS-CoV-2 Delta after Omicron variant superinfection in an immunocompromised pediatric patient.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37790412,37790412,10.21203/rs.3.rs-3220157/v1,2023,,SARS-CoV-2 Bottlenecks and Tissue-Specific Adaptation in the Central Nervous System.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37745602,37745602,10.1101/2023.09.13.557637,2023,CViSB,Genetic tracing of market wildlife and viruses at the epicenter of the COVID-19 pandemic.,Robert Garry;Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37720034,37720034,10.21203/rs.3.rs-3246773/v1,2023,SYBIL,Live imaging of the airway epithelium reveals that mucociliary clearance modulates SARS-CoV-2 spread.,Sumit Chanda,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-37672567,37672567,10.1126/scitranslmed.adf6598,2023,,Humoral immunity to an endemic coronavirus is associated with postacute sequelae of COVID-19 in individuals with rheumatic diseases.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37639445,37639445,10.1371/journal.pcbi.1011419,2023,,Accelerating Bayesian inference of dependency between mixed-type biological traits.,,candidate relevance plus virus/pathogen/assay support,influenza;hiv,,candidate,medium
current-program,pmid-37620306,37620306,10.1038/s41467-023-40699-8,2023,,Antibody-mediated NK cell activation as a correlate of immunity against influenza infection.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-37535402,37535402,10.1128/mbio.00902-23,2023,CViSB,Anamnestic humoral correlates of immunity across SARS-CoV-2 variants of concern.,Ryan McNamara,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37502985,37502985,10.1101/2023.07.12.548617,2023,,The recency and geographical origins of the bat viruses ancestral to SARS-CoV and SARS-CoV-2.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37443074,37443074,10.1038/s41467-023-39189-8,2023,SYBIL,Waning and boosting of antibody Fc-effector functions upon SARS-CoV-2 vaccination.,Ryan McNamara;Rafael Medina,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37384622,37384622,10.1371/journal.ppat.1011416,2023,,Antigen pressure from two founder viruses induces multiple insertions at a single antibody position to generate broadly neutralizing HIV antibodies.,,candidate relevance plus virus/pathogen/assay support,hiv,,candidate,medium
current-program,pmid-37252360,37252360,10.1021/acscentsci.2c01471,2023,SCRIPT,Lectin Fingerprinting Distinguishes Antibody Neutralization in SARS-CoV-2.,Alan Hauser,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov;influenza,proteomics,high,medium
current-program,pmid-37249415,37249415,10.1002/pbc.30473,2023,,Humoral profiling of pediatric patients with cancer reveals robust immunity following anti-SARS-CoV-2 vaccination superior to natural infection.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37191546,37191546,10.1128/spectrum.00324-23,2023,,Serodominant SARS-CoV-2 Nucleocapsid Peptides Map to Unstructured Protein Regions.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37161609,37161609,10.1093/brain/awad155,2023,,Neurologic sequelae of COVID-19 are determined by immunologic imprinting from previous coronaviruses.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37034676,37034676,10.1101/2023.03.28.534602,2023,,Deep repertoire mining uncovers ultra-broad coronavirus neutralizing antibodies targeting multiple spike epitopes.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-37000623,37000623,10.1016/j.celrep.2023.112326,2023,CViSB,Fc-mediated pan-sarbecovirus protection after alphavirus vector vaccination.,Ryan McNamara,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov,,high,medium
current-program,pmid-36823332,36823332,10.1038/s41592-023-01769-3,2023,CViSB,Outbreak.info genomic reports: scalable and dynamic surveillance of SARS-CoV-2 variants and mutations.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-36472425,36472425,10.1128/aac.01023-22,2023,SCRIPT,Machine Learning To Stratify Methicillin-Resistant Staphylococcus aureus Risk among Hospitalized Patients with Community-Acquired Pneumonia.,Richard Wunderink,explicit cross-virus/shared-host signal,staphylococcus_aureus,clinical_modeling,high,low
pi-backlog,pmid-38046840,38046840,10.51893/2022.1.OA5,2022,CViSB,"The Monitoring with Advanced Sensors, Transmission and E-Resuscitation in Traumatic Brain Injury (MASTER-TBI) collaborative: bringing data science to the ICU bedside.",Ryan McNamara,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-36532738,36532738,10.3389/fphar.2022.1029093,2022,SYBIL,Inhibition of coronavirus HCoV-OC43 by targeting the eIF4F complex.,Sumit Chanda,"viral context plus mechanism/resource terms: coronavirus, screen",coronavirus,,candidate,medium
pi-backlog,pmid-36519174,36519174,10.3389/fmicb.2022.1068328,2022,SYBIL,Interaction between chicken TRIM25 and MDA5 and their role in mediated antiviral activity against IBDV infection.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, pathway, interaction",,,candidate,medium
pi-backlog,pmid-36496417,36496417,10.1038/s41541-022-00583-w,2022,SYBIL,Transcriptome signatures preceding the induction of anti-stalk antibodies elicited after universal influenza vaccination.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, influenza, transcriptome",influenza,transcriptomics,candidate,medium
pi-backlog,pmid-36299428,36299428,10.1101/2022.10.18.512708,2022,SYBIL,Impact of SARS-CoV-2 ORF6 and its variant polymorphisms on host responses and viral pathogenesis.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, sars, pathway, interaction",sars-cov-2;sars-cov,,candidate,medium
pi-backlog,pmid-36298829,36298829,10.3390/v14102274,2022,HPMI,Viral Hijacking of BET Proteins.,Melanie Ott,"viral context plus mechanism/resource terms: virus, viral, network",,network_modeling,candidate,medium
pi-backlog,pmid-36274774,36274774,10.4300/JGME-D-22-00050.1,2022,HPMI,"""The Most Crushing Thing"": Understanding Resident Assessment Burden in a Competency-Based Curriculum.",Melanie Ott,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-36197970,36197970,10.1126/sciadv.abm5859,2022,SYBIL,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans.",Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,influenza,transcriptomics;network_modeling,high,medium
pi-backlog,pmid-36095012,36095012,10.1371/journal.ppat.1010811,2022,HPMI,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,Melanie Ott,"viral context plus mechanism/resource terms: viral, sars, interactome, interaction",sars-cov-2;sars-cov,proteomics,candidate,medium
pi-backlog,pmid-36044897,36044897,10.1016/j.medj.2022.08.002,2022,SYBIL,Discovery and intranasal administration of a SARS-CoV-2 broadly acting neutralizing antibody with activity against multiple Omicron subvariants.,Adolfo Garcia-Sastre;Michael Schotsaert,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;coronavirus,,high,medium
pi-backlog,pmid-35985686,35985686,10.21873/cgp.20348,2022,CViSB,A Novel Cryptic t(2;3)(p21;q25) Translocation Fuses the WWTR1 and PRKCE Genes in Uterine Leiomyoma With 3q- as the Sole Visible Chromosome Abnormality.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-35985635,35985635,10.1016/j.bbagrm.2022.194859,2022,HPMI,Catching BETs by viruses.,Melanie Ott,"viral context plus mechanism/resource terms: viral, sars, interaction",sars-cov-2;sars-cov,epigenomics,candidate,medium
pi-backlog,pmid-35969644,35969644,10.1371/journal.ppat.1010543,2022,CViSB,Nonlytic cellular release of hepatitis A virus requires dual capsid recruitment of the ESCRT-associated Bro1 domain proteins HD-PTP and ALIX.,Ryan McNamara,"viral context plus mechanism/resource terms: virus, viral, proteomics",influenza,proteomics,candidate,medium
pi-backlog,pmid-35967877,35967877,10.3389/fcimb.2022.960138,2022,SYBIL,eIF5A is activated by virus infection or dsRNA and facilitates virus replication through modulation of interferon production.,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,influenza;zika,,high,medium
pi-backlog,pmid-35867415,35867415,10.1128/spectrum.00921-22,2022,SYBIL,Proteomic Identification of Potential Target Proteins of Cathepsin W for Its Development as a Drug Target for Influenza.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, host factor",influenza,proteomics,candidate,medium
pi-backlog,pmid-35862388,35862388,10.1371/journal.pone.0271061,2022,SYBIL,A preclinical model of post-surgery secondary bone healing for subtrochanteric femoral fracture based on fuzzy interpretations.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-35766385,35766385,10.1021/acsinfecdis.2c00008,2022,SYBIL,Sec61 Inhibitor Apratoxin S4 Potently Inhibits SARS-CoV-2 and Exhibits Broad-Spectrum Antiviral Activity.,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;influenza;dengue;zika,,high,medium
pi-backlog,pmid-35632848,35632848,10.3390/v14051107,2022,SYBIL,"Type I and Type II Interferon Antagonism Strategies Used by Paramyxoviridae: Previous and New Discoveries, in Comparison.",Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, pathway",,,candidate,medium
pi-backlog,pmid-35291294,35291294,10.1101/2022.03.06.483172,2022,HPMI,Low expression of EXOSC2 protects against clinical COVID-19 and impedes SARS-CoV-2 replication.,Nevan Krogan,"viral context plus mechanism/resource terms: virus, viral, sars, interaction",sars-cov-2;sars-cov,crispr_screen,candidate,medium
pi-backlog,pmid-35215907,35215907,10.3390/v14020314,2022,SYBIL,Human SUMOylation Pathway Is Critical for Influenza B Virus.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, pathway, host factor",influenza,,candidate,medium
pi-backlog,pmid-35186917,35186917,10.3389/fcell.2022.768356,2022,SYBIL,Profiling Selective Packaging of Host RNA and Viral RNA Modification in SARS-CoV-2 Viral Preparations.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, sars, transcriptome",sars-cov-2;sars-cov,transcriptomics,candidate,medium
pi-backlog,pmid-35128980,35128980,10.1177/01926233211072767,2022,SYBIL,Modeling SARS-CoV-2: Comparative Pathology in Rhesus Macaque and Golden Syrian Hamster Models.,Adolfo Garcia-Sastre;Michael Schotsaert,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;coronavirus,network_modeling,high,medium
pi-backlog,pmid-35062015,35062015,10.1038/s41586-022-04441-6,2022,SYBIL,SARS-CoV-2 Omicron virus causes attenuated disease in mice and hamsters.,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism/resource terms: virus, viral, sars, network",sars-cov-2;sars-cov,network_modeling,candidate,medium
pi-backlog,pmid-35036924,35036924,10.1097/CCE.0000000000000615,2022,HPMI,What Is the Effect of Organ Donation Authorization Rates When Utilizing a Standardized Effective Request Process?,Melanie Ott,explicit cross-virus or shared-host framing in title/abstract,,network_modeling,high,low
pi-backlog,pmid-35032865,35032865,10.1016/j.virol.2021.12.010,2022,SYBIL,Rift Valley fever virus Gn V5-epitope tagged virus enables identification of UBR4 as a Gn interacting protein that facilitates Rift Valley fever virus production.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, proteomics",,proteomics,candidate,medium
pi-backlog,pmid-35018374,35018374,10.1101/2022.01.04.474979,2022,HPMI,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,Melanie Ott,"viral context plus mechanism/resource terms: viral, sars, interactome, interaction",sars-cov-2;sars-cov,proteomics,candidate,medium
hpmi,pmid-36075902,36075902,10.1038/s41467-022-32758-3,2022,HPMI,Structure-function analysis of enterovirus protease 2A in complex with its essential host factor SETD3.,,candidate relevance plus virus/pathogen/assay support,enterovirus,structural_biology,candidate,medium
hpmi,pmid-35982664,35982664,10.1101/2022.08.02.502100,2022,HPMI,NF-κB inhibitor alpha has a cross-variant role during SARS-CoV-2 infection in ACE2-overexpressing human airway organoids.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,transcriptomics,candidate,medium
hpmi,pmid-35877763,35877763,10.1371/journal.ppat.1010721,2022,HPMI,IFN-γ-independent control of M. tuberculosis requires CD4 T cell-derived GM-CSF and activation of HIF-1α.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,,candidate,medium
hpmi,pmid-35417684,35417684,10.1016/j.celrep.2022.110690,2022,HPMI,Global post-translational modification profiling of HIV-1-infected cells reveals mechanisms of host cellular pathway remodeling.,,candidate relevance plus virus/pathogen/assay support,hiv,proteomics,candidate,low
hpmi,pmid-35337019,35337019,10.3390/v14030611,2022,HPMI,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,protein_interaction_mapping;proteomics,candidate,medium
hpmi,pmid-35150638,35150638,10.1016/j.chom.2022.01.006,2022,HPMI,Mutations in SARS-CoV-2 variants of concern link to increased spike cleavage and virus transmission.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
hpmi,pmid-35017099,35017099,10.1016/j.mcpro.2022.100194,2022,HPMI,Comparative Analysis of T-Cell Spatial Proteomics and the Influence of HIV Expression.,,explicit cross-virus/shared-host signal,influenza;hiv,proteomics,high,medium
hpmi,pmid-35013567,35013567,10.1038/s41576-021-00441-w,2022,HPMI,From systems to structure - using genetic data to model protein structures.,,candidate relevance plus virus/pathogen/assay support,,structural_biology,candidate,low
hpmi,pmid-35012962,35012962,10.26508/lsa.202101200,2022,HPMI,Preclinical and randomized phase I studies of plitidepsin in adults hospitalized with COVID-19.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
hpmi,pmid-34942634,34942634,10.1038/s41586-021-04352-y,2022,HPMI,Evolution of enhanced innate immune evasion by SARS-CoV-2.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,proteomics,candidate,medium
current-program,pmid-36523403,36523403,10.1101/2022.12.05.519032,2022,,Superiority of intranasal over systemic administration of bioengineered soluble ACE2 for survival and brain protection against SARS-CoV-2 infection.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-36463314,36463314,10.1038/s41541-022-00575-w,2022,,BNT162b2 induces robust cross-variant SARS-CoV-2 immunity in children.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-36423141,36423141,10.3390/v14112532,2022,,Challenges and Opportunities for Global Genomic Surveillance Strategies in the COVID-19 Era.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-36203557,36203557,10.1101/2022.09.25.22280335,2022,,Impact of cross-coronavirus immunity in post-acute sequelae of COVID-19.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-36060555,36060555,10.1080/01621459.2020.1799812,2022,,Inferring Phenotypic Trait Evolution on Large Trees With Many Incomplete Measurements.,,explicit cross-virus/shared-host signal,hiv,,high,low
current-program,pmid-36000735,36000735,10.1128/mbio.01647-22,2022,,Hybrid Immunity Shifts the Fc-Effector Quality of SARS-CoV-2 mRNA Vaccine-Induced Immunity.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35973352,35973352,10.1016/j.coi.2022.102234,2022,,The next frontier in vaccine design: blending immune correlates of protection into rational vaccine design.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35952712,35952712,10.1038/s41586-022-05200-3,2022,,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35923313,35923313,10.1101/2022.07.22.501163,2022,SYBIL,Waning and boosting of functional humoral immunity to SARS-CoV-2.,Ryan McNamara;Rafael Medina,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35899968,35899968,10.1111/tid.13914,2022,,De novo emergence of SARS-CoV-2 spike mutations in immunosuppressed patients.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35881005,35881005,10.1126/science.abp8337,2022,CViSB,The molecular epidemiology of multiple zoonotic origins of SARS-CoV-2.,Robert Garry;Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35798029,35798029,10.1038/s41586-022-05049-6,2022,CViSB,Wastewater sequencing reveals early cryptic SARS-CoV-2 variant transmission.,Melissa Johnson;Elaine Reed;Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35794893,35794893,10.21203/rs.3.rs-1723829/v1,2022,CViSB,Outbreak.info genomic reports: scalable and dynamic surveillance of SARS-CoV-2 variants and mutations.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35771664,35771664,10.1093/infdis/jiac265,2022,CViSB,Introduction and Establishment of SARS-CoV-2 Gamma Variant in New York City in Early 2021.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35767652,35767652,10.1126/scitranslmed.abm3151,2022,,Antibody Fc characteristics and effector functions correlate with protection from symptomatic dengue virus type 3 infection.,,candidate relevance plus virus/pathogen/assay support,dengue,,candidate,medium
current-program,pmid-35538057,35538057,10.1038/s41467-022-29614-9,2022,,Archival influenza virus genomes from Europe reveal genomic variability during the 1918 pandemic.,,candidate relevance plus virus/pathogen/assay support,influenza;hiv,,candidate,medium
current-program,pmid-35411350,35411350,10.1101/2021.12.21.21268143,2022,CViSB,"Wastewater sequencing uncovers early, cryptic SARS-CoV-2 variant transmission.",Melissa Johnson;Elaine Reed;Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-35411346,35411346,10.21203/rs.3.rs-1479315/v1,2022,,An immunoPET probe to SARS-CoV-2 reveals early infection of the male genital tract in rhesus macaques.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-35396471,35396471,10.1038/s41592-022-01444-z,2022,,Unlocking capacities of genomics for the COVID-19 response and future pandemics.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
