source_collection,paper_id,pmid,year,center,title,pi_candidates,viruses,pathogens,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,abstract_excerpt
pi-backlog,pmid-42401593,42401593,2026,,Muscle macrophage regenerative response after squalene-adjuvanted influenza vaccination is associated with type II-skewed response and is reduced with age.,,influenza,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"Squalene-based adjuvants like MF59 and AddaVax induce transient muscle injury, but their downstream mechanisms remain unclear. We show that intramuscular injection of a quadrivalent inactivated influenza vaccine (QIV) with AddaVax triggers a muscle regenerative-like immune res..."
pi-backlog,pmid-42378814,42378814,2026,,Phase 1 trial of intranasal NDV-HXP-S in previously vaccinated adults.,,sars-cov-2;sars-cov,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,BACKGROUND: Newcastle disease virus hexapro spike (NDV-HXP-S) is a recombinant vaccine designed to elicit both systemic and mucosal immunity against SARS-CoV-2. Intramuscular vaccines protect against severe disease but provide limited mucosal protection. We conducted a Phase 1...
pi-backlog,pmid-42269836,42269836,2026,,In vivo base editing alleviates hepatic iron accumulation and fibrosis in models of HFE-related hereditary hemochromatosis.,,,,transcriptomics;network_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"BACKGROUND & AIMS: HFE-related hereditary hemochromatosis is caused by loss-of-function mutations in the HFE gene, leading to excessive intestinal iron absorption and hepatic deposition. The C282Y variant in homozygosity accounts for 80-90% of diagnosed cases. If untreated, ir..."
pi-backlog,pmid-42244724,42244724,2026,,Zoonotic infections and genomic evolution of novel reassortant swine influenza A viruses in Spain.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral","Influenza A virus (IAV) circulates widely in European pig populations and continues to diversify through frequent introductions from humans, followed by reassortment within swine. Spain represents a particularly dynamic ecological setting due to the coexistence of intensive wh..."
pi-backlog,pmid-42233671,42233671,2026,,Identification and characterization of a SARS-CoV-2 M(pro) G23 deletion ensitrelvir-resistant mutant.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"Ensitrelvir is an antiviral drug that specifically targets the conserved main protease (Mpro) of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). However, mutations in Mpro could confer resistance to antivirals, including ensitrelvir. Thus, identifying SARS-CoV-2..."
pi-backlog,pmid-42150007,42150007,2026,,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,,hiv,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, interaction, infection",high,recent paper with relevant terms: viral,"DCAF1 is a donut shaped WD40 repeat protein and a substrate receptor of two distinct E3 ligases. In HIV-1 infection, the viral protein Vpr binds to the top surface of DCAF1, changes its substrate specificity to degrade human proteins involved in antiviral activities, enabling..."
pi-backlog,pmid-42084370,42084370,2026,,A cocktail of SARS-CoV-2 S stem helix domain and receptor binding domain human monoclonal antibodies prevents the emergence of viral escape mutants.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral","UNLABELLED: Neutralizing antibodies (NAbs) targeting the spike (S) glycoprotein remain a crucial therapeutic strategy against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). However, emerging viral variants have escaped all Food and Drug Administration (FDA)-appr..."
pi-backlog,pmid-42069582,42069582,2026,,Bridging systems and selves: a qualitative exploration of peer navigation as a developmentally tailored engagement strategy for adolescent HIV services.,,hiv,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"BACKGROUND: Adolescent peer navigation is a promising strategy to improve engagement and health outcomes among adolescents living with HIV (ALHIV), yet youth-focused models remain underdeveloped and poorly documented, particularly in low- and middle-income countries. The Moi T..."
pi-backlog,pmid-42012179,42012179,2026,,Re-engineering segment 8 facilitates generation of a versatile live-attenuated influenza A virus vector platform for secretory protein delivery.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral","UNLABELLED: Influenza A viruses (IAVs) lacking the nonstructural protein 1 (NS1) gene (IAV-ΔNS1) are attenuated both in vitro and in vivo, yet retain replicative capacity in interferon signaling-deficient systems. To date, several efforts have been pursued to expand its functi..."
pi-backlog,pmid-42008572,42008572,2026,,"Entry, replication and innate immunity evasion of BANAL-236, a SARS-CoV-2-related bat virus, in Rhinolophus and human cells.",,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral","Asian Rhinolophus bats are considered the natural reservoirs of an ancestral SARS-CoV-2. However, the biology of SARS-CoV-2-related viruses in bat cells is not well understood. Here, we investigated the replication of an isolate of BANAL-236, the only bat-derived SARS-CoV-2 re..."
pi-backlog,pmid-41851107,41851107,2026,,"Discovery of synthetic G-quadruplex DNA as SARS-CoV-2 helicase inhibitor with antiviral, anti-inflammatory and antioxidative properties.",,sars-cov-2;sars-cov,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"SARS-CoV-2 RNA contains guanine-rich sequences that form secondary structures known as G quadruplexes (G4s). The SARS-CoV-2 nonstructural protein (NSP13) resolves G4s due to its helicase and ATPase activity, a process essential for viral replication. Here, we tested the effect..."
pi-backlog,pmid-41742404,41742404,2026,,Delayed viral rebound post-ART interruption in infant macaques given SIV-specific neutralizing antibodies.,,hiv,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral","Interventions to prevent HIV rebound in the absence of antiretroviral therapy (ART) are needed. Here, we use a rhesus macaque model of pediatric HIV to assess the impact of simian immunodeficiency virus (SIV) Env-specific rhesus monoclonal antibodies (RhmAbs) on viral rebound...."
pi-backlog,pmid-41668256,41668256,2026,,Longitudinal Surveillance of Influenza A Virus Exposure in Wild Boars (Sus scrofa) in Spain (2015-2023): Serologic and Virologic Evidence of Subtype Infections and H5N1 Spillover Risk.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral","INTRODUCTION: Influenza A viruses (IAVs) are responsible for respiratory infections in a wide range of species, including birds, swine and humans. The role of wild boar (Sus scrofa) in IAV epidemiology remains underexplored. Here, we present a longitudinal serologic and virolo..."
pi-backlog,pmid-41667504,41667504,2026,,MHC class II functions as a host-specific entry receptor for representative human and swine H3N2 influenza A viruses.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,"recent paper with relevant terms: viral, host","Influenza A viruses (FLUAV) utilize sialic acid to enter host cells via the envelope's hemagglutinin (HA), and its affinity for host-specific sialic acid linkage configuration is a major host range determinant. However, some FLUAV subtypes (H17, H18, H19) use the major histoco..."
pi-backlog,pmid-41666933,41666933,2026,,Influenza hijacks myeloid cells to inflict type-I interferon-fueled damage in the heart.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, host-pathogen, infection",high,"recent paper with relevant terms: virus, viral, host","Abundant evidence has correlated influenza infection with cardiovascular disease, yet mechanisms linking infection with the heart remain poorly understood. Here, we show that influenza infection damaged the human and murine heart. In mice, we showed that shortly after pulmonar..."
pi-backlog,pmid-41659573,41659573,2026,,A bireporter recombinant SARS-CoV-2 Omicron BA.5 for in vitro and in vivo studies.,,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,recent paper with relevant terms: viral,The continuous emergence of variants of concern (VoC) represent a significant challenge to effectively control SARS-CoV-2. Although FDA-approved vaccines and antivirals have been successfully developed and implemented for the prophylactic and therapeutic intervention of SARS-C...
pi-backlog,pmid-41555519,41555519,2026,,Immunogenicity and efficacy of a rabies-based vaccine against highly pathogenic influenza H5N1 virus.,,influenza,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,"The recent spillover of highly pathogenic influenza A/H5N1 (HPAI-H5N1) viruses to cattle, other mammals, and humans poses a major risk to animal and human health. Virus adaptation to new species highlights the need for effective vaccines for animals and humans. We recently dev..."
pi-backlog,pmid-41459948,41459948,2026,,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral, host","UNLABELLED: Secondary bacterial infections can significantly worsen the clinical course of influenza virus infections and are a leading cause of morbidity and mortality during seasonal influenza epidemics. Despite being a vaccine-preventable disease, influenza-related complica..."
pi-backlog,pmid-41406955,41406955,2026,,"Discovery of AVI-6451, a Potent and Selective Inhibitor of the SARS-CoV-2 ADP-Ribosylhydrolase Mac1 with Oral Efficacy In Vivo.",,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,"recent paper with relevant terms: viral, host","The COVID-19 pandemic emphasized the need for effective antivirals acting at new targets. We recently described AVI-4206, a 9H-pyrimido[4,5-b]indole-based inhibitor of the SARS-CoV-2 macrodomain Mac1, an ADP-ribosylhydrolase thought to blunt the host immune response to viral i..."
pi-backlog,pmid-41348320,41348320,2026,,Autoantibodies neutralizing type I IFNs in a fatal case of H5N1 avian influenza.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral","Avian influenza A virus (IAV) H5N1 is an emerging threat of human pandemic. We describe a 71-year-old man who died of H5N1 pneumonia in Louisiana and whose blood contained autoantibodies neutralizing type I IFNs (AAN-I-IFNs), including the 12 IFN-α subtypes (1-10 ng/ml) and IF..."
pi-backlog,pmid-41274284,41274284,2026,,One thousand SARS-CoV-2 antibody structures reveal convergent binding and near-universal immune escape.,,sars-cov-2;sars-cov,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"Understanding antibody recognition and adaptation to viral evolution is central to vaccine and therapeutic development. Over 1,100 SARS-CoV-2 antibody structures have been resolved, marking the largest structural biology effort for a single pathogen. We present a comprehensive..."
hpmi,pmid-41231971,41231971,2026,HPMI,Recurrent acquisition of nuclease-protease pairs in antiviral immunity.,,,,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: viral, pathway",high,recent HPMI paper with relevant terms: viral,"Antiviral immune systems diversify by integrating new genes into existing pathways, creating new mechanisms of viral resistance. We identified genes encoding a predicted nuclease paired with a trypsin-like protease repeatedly acquired by multiple, otherwise unrelated antiviral..."
pi-backlog,pmid-41568362,41568362,2025,,Identification of the HMGA2::CIBAR1-DT fusion transcript in two lipomas with chromosomal rearrangements involving chromosomes 8 and 12.,,influenza,,,data_or_analysis,high,explicit cross-virus/shared-host language: comparative,low,no strong backlog-priority keywords matched,"BACKGROUND/AIM: Lipomas are benign tumors of adipocytic origin. The most frequent chromosome rearrangement in lipomas involves the high-mobility group AT-hook 2 gene (HMGA2), which maps to 12q14. We investigated two lipomas showing rearrangements of chromosomal bands 8q22 and..."
pi-backlog,pmid-41509424,41509424,2025,,Coevolutionary constraints of Zika virus nonstructural protein 5 replication and interferon antagonism activities.,,zika,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, infection",high,recent paper with relevant terms: virus,"The flavivirus nonstructural protein 5 performs multiple functions during infection, including RNA replication and type I interferon signaling antagonism. Although flavivirus NS5 proteins inhibit IFN signaling through distinct mechanisms, which suggests evolutionary flexibilit..."
pi-backlog,pmid-41438749,41438749,2025,,Enhancing functional antibody responses against HIV envelope V1V2 through vaccine formulations.,,hiv,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, infection",high,recent paper with relevant terms: virus,"BACKGROUND: Despite decades of research, the development of an effective HIV vaccine remains a significant challenge. Recent findings from three large vaccine efficacy trials have identified antibodies against the V1V2 domain of the HIV envelope glycoprotein as a potential cor..."
pi-backlog,pmid-41436260,41436260,2025,,"Understanding the pathogenesis of uveitis in Ebola virus disease survivors: an observational cohort and cross-sectional study protocol for clinical, molecular virologic and immunologic characterisation.",,influenza,,,review,candidate,"relevant viral/host/pathway terms matched: virus, viral, interaction",high,"recent paper with relevant terms: virus, viral, host","INTRODUCTION: The 2013-2016 Western African outbreak of the Ebola virus disease (EVD), the largest recorded outbreak since the discovery of Ebola virus (EBOV) in 1976, destabilised local health systems and left thousands of survivors at risk for postacute sequelae, including v..."
pi-backlog,pmid-41431345,41431345,2025,,Seasonal Influenza Vaccine 2021/2022 Provides Limited Cross Reactivity Against Contemporary Swine Influenza A Virus Strains in Spain.,,influenza,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,"Swine influenza A viruses (SIVs) pose a zoonotic risk, with variants detected in humans in Europe. This study evaluated the efficacy of the 2021/2022 seasonal influenza vaccine against SIVs. Forty-six postvaccination human sera were tested via hemagglutination inhibition (HI)..."
pi-backlog,pmid-41406942,41406942,2025,,Systemic and mucosal immune signatures of protection against SARS-CoV-2 transmission in humans.,,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, infection",high,recent paper with relevant terms: virus,"Binding and neutralizing antibodies against the spike (S) protein of SARS-CoV-2 have been associated with a reduced risk of symptomatic infection. However, precise immune protection thresholds remain unclear. We aim to define systemic and mucosal antibody correlates of protect..."
pi-backlog,pmid-41398167,41398167,2025,,Heterologous combinations of VSV-GP and native-like trimers elicit autologous Tier 2 HIV antibodies in rabbits.,,hiv,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,Developing an effective human immunodeficiency virus (HIV) vaccine remains challenging due to difficulties to induce antibodies that neutralize the wide range of HIV-variants. Native-like HIV envelope (Env) trimers in a closed conformation represent promising immunogens. We ev...
pi-backlog,pmid-41279697,41279697,2025,,Identification and characterization of a SARS-CoV-2 M (pro) G23 deletion ensitrelvir-resistant mutant.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral",UNLABELLED: Ensitrelvir is an antiviral drug that specifically targets the main protease (M pro ) of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) has been approved for the treatment of coronavirus disease 2019 (COVID-19) due to the conservation of its target pr...
pi-backlog,pmid-41279668,41279668,2025,,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral, host","Secondary bacterial infections can significantly worsen the clinical course of influenza virus infections and are a leading cause of morbidity and mortality during seasonal influenza epidemics. Despite being a vaccine-preventable disease, influenza-related complications from s..."
pi-backlog,pmid-41279452,41279452,2025,,In silico analysis of the Chikungunya virus and SARS-CoV-2 Macrodomain.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral, host","The macrodomain of the Chikungunya virus NSP3 protein (ChikV Mac1) hydrolyzes mono-ADP ribose post-translational modifications on the human host proteins. Mutations in Mac1 reduce ChikV virulence. Thus, ChikV Mac1 is a viral drug target. While no potent ChikV Mac1 inhibitors a..."
pi-backlog,pmid-41279160,41279160,2025,,"Discovery of AVI-6451, a Potent and Selective Inhibitor of the SARS-CoV-2 ADP-Ribosylhydrolase Mac1 with Oral Efficacy in vivo.",,sars-cov-2;sars-cov;influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,recent paper with relevant terms: viral,"The COVID-19 pandemic made plain the need for effective antivirals acting on novel antiviral targets, among which viral macrodomains have attracted considerable attention. We recently described AVI-4206 (1), a potent and selective inhibitor of the SARS-CoV-2 ADP-ribosylhydrola..."
pi-backlog,pmid-41278696,41278696,2025,,A cocktail of SARS-CoV-2 spike stem helix domain and receptor binding domain human monoclonal antibodies prevent the emerge of viral escape mutants.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"Neutralizing antibodies (NAbs) targeting the spike (S) glycoprotein remain a crucial therapeutic strategy against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). However, emerging viral variants have escaped all Food and Drug Administration (FDA)-approved NAb tre..."
pi-backlog,pmid-41271759,41271759,2025,,Immunogenicity and efficacy of homologous and heterologous NDV and MVA SARS-CoV-2 vaccines in mice and hamsters.,,sars-cov-2;sars-cov;poxvirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral",Effective vaccination strategies adaptable to emerging viruses like SARS-CoV-2 and capable of inducing robust protective immunity are needed. We evaluated the immunogenicity and protective efficacy of homologous and heterologous prime/boost regimens against SARS-CoV-2 in K18-h...
pi-backlog,pmid-41258893,41258893,2025,,The Mac1 ADP-ribosylhydrolase is a therapeutic target for SARS-CoV-2.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral, host",Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) continues to pose a threat to public health. Current therapeutics remain limited to direct-acting antivirals that lack distinct mechanisms of action and are already showing signs of viral resistance. The virus encode...
pi-backlog,pmid-41247781,41247781,2025,,The role of co-infection in the pathogenesis of acute SARS-CoV-2 infection and development of post-acute sequelae: A perspective.,,sars-cov-2;sars-cov,,,review,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,recent paper with relevant terms: viral,"A major health challenge resulting from the COVID-19 pandemic is the manifestation of post-acute sequelae of SARS-CoV-2 (PASC). PASC (or long COVID) is a collective term used for clinical symptoms, various pathologies, and life-quality-changing functional impairment that persi..."
pi-backlog,pmid-41240951,41240951,2025,,The effect of long-acting cabotegravir and rilpivirine treatment on drug resistance in South Africa: a modelling study.,,influenza;hiv,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"BACKGROUND: Long-acting injectable cabotegravir and rilpivirine (LAI cabotegravir and rilpivirine) is recommended as maintenance therapy for people living with HIV who achieved viral suppression on oral antiretroviral therapy (ART). However, its effect on drug resistance evolu..."
pi-backlog,pmid-41218566,41218566,2025,,Pharmacological reprogramming of plitidepsin as a SARS-CoV-2 inhibitor.,,sars-cov-2;sars-cov,,,review,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,"Selective pressures in the ocean promote the evolution of potent molecules that may be useful in therapeutic settings. Tunicates provide a rich source of bioactive molecules that have been shown to have anti-neoplastic and anti-microbial activities. Plitidepsin, a natural mari..."
pi-backlog,pmid-41190814,41190814,2025,,Transient lung eosinophilia during breakthrough influenza infection in vaccinated mice is associated with protective and balanced Type 1/2 immune responses.,,influenza;rsv,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral","UNLABELLED: Eosinophils are versatile cells that participate in a multitude of homeostatic and inflammatory responses in the lung, ranging from allergic asthma to antiviral defense against respiratory viral infection. In the context of vaccination followed by viral infection,..."
pi-backlog,pmid-41060012,41060012,2025,,Bioluminescent reporter influenza A viruses to track viral infections.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral",Influenza A viruses (IAVs) infect a wide range of mammalian and bird species and are responsible for seasonal outbreaks and occasional pandemics of great consequences in humans. Studying IAVs requires methods to detect the presence of the virus in infected cells or animal mode...
pi-backlog,pmid-41006602,41006602,2025,,HIV-induced T cell quiescence and the origins of viral latency.,,hiv,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,
pi-backlog,pmid-40989185,40989185,2025,,Swine influenza-modified pulmonary microbiota.,,influenza,,,methods,candidate,"relevant viral/host/pathway terms matched: virus, infection",high,recent paper with relevant terms: virus,"Influenza A virus (IAV) remains a major health concern in both humans and animals, with pigs serving as key reservoirs for generating novel reassortant viruses with pandemic potential. Respiratory microbiome alterations during infection may facilitate secondary bacterial compl..."
pi-backlog,pmid-40978136,40978136,2025,,A human H5N1 influenza virus expressing bioluminescence for evaluating viral infection and identifying therapeutic interventions.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral","A multistate outbreak of highly pathogenic avian influenza virus (HPAIV) H5N1 in the United States dairy cattle was first reported on March 2024, followed by a zoonotic cattle-to-human virus transmission to a dairy farm worker in Texas. To facilitate real-time tracking of HPAI..."
pi-backlog,pmid-40907479,40907479,2025,,Respiratory Syncytial Virus Epidemiology and Clinical Characteristics among Young Children Hospitalized in Sierra Leone.,,rsv,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,"Respiratory syncytial virus (RSV) is a leading cause of acute lower respiratory tract infections in children under 5 years of age, resulting in significant morbidity and mortality worldwide. The aim of the current study is to investigate the prevalence and clinical features of..."
pi-backlog,pmid-40865529,40865529,2025,,Human monoclonal antibodies targeting A35 protect from death caused by mpox.,,poxvirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral","The 2022 mpox outbreak highlighted the serious threat of monkeypox virus (MPXV), yet effective treatments are lacking. From an mpox-convalescent individual, we identified three high-affinity human monoclonal antibodies (mAbs) (named EV35-2, EV35-6, and EV35-7) that target the..."
pi-backlog,pmid-40791481,40791481,2025,,Programmable translational inhibition by a molecular glue-oligonucleotide conjugate.,,sars-cov-2;sars-cov,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"Selective inhibition of mRNA translation is a promising strategy for modulating the activity of disease-associated genes, yet achieving both high potency and specificity remains challenging. Rocaglamide A (RocA), a molecular glue, inhibits translation by clamping eIF4A onto po..."
pi-backlog,pmid-40791423,40791423,2025,,Bioluminescent reporter influenza A viruses to track viral infections.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral",UNLABELLED: Influenza A viruses (IAV) infect a wide range of mammal and bird species and are responsible for seasonal outbreaks and occasional pandemics. Studying IAV requires methods to detect the presence of the virus in infected cells or animal models. Recombinant IAV expre...
pi-backlog,pmid-40747555,40747555,2025,,"Identification of amino acid residues in polymerase PB2 responsible for differential replication and pathogenicity of avian influenza virus H5N1 isolated from human and cattle in Texas, US.",,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral","Highly pathogenic avian influenza viruses (HPAIV) pose serious public health concerns. In March 2024, a first-time outbreak of HPAIV H5N1 in dairy cattle herds was reported in the United States (US). Since then, the virus has continued to spread in cattle herds and spilt over..."
pi-backlog,pmid-40652001,40652001,2025,,A live attenuated NS1-deficient vaccine candidate for cattle-origin influenza A (H5N1) clade 2.3.4.4.b viruses.,,influenza,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,"Avian Influenza viruses (AIVs) present a public health risk, especially with seasonal vaccines offering limited protection. AIV H5N1 clade 2.3.4.4b has caused a multi-state outbreaks in the United States (US) poultry and cattle since March 2024, raising pandemic concerns. We d..."
pi-backlog,pmid-40633557,40633557,2025,,"Genetic Characterization of Highly Pathogenic Avian Influenza A(H5N1) Clade 2.3.4.4b, Antarctica, 2024.",,influenza,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,"In 2024, we sequenced highly pathogenic avian influenza virus A(H5N1) clade 2.3.4.4b genomes isolated from 5 brown skuas from James Ross Island, Antarctica. Phylogenetic analysis suggested the virus reached Antarctica through South America. Continued genetic surveillance will..."
pi-backlog,pmid-40627391,40627391,2025,,BIK polymorphism and proteasome regulation unveil host risk factor for severe influenza.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, interaction, infection",high,"recent paper with relevant terms: viral, host","Influenza A viruses (IAVs) pose a significant public health threat, with host factors playing a crucial role in disease severity. We investigated the role of Bcl-2-interacting killer (BIK) in IAV infection using cellular and mouse models, and influenza-infected human cohort. I..."
pi-backlog,pmid-40586480,40586480,2025,,"Discovery and Preclinical Profile of ALG-097558, a Pan-Coronavirus 3CLpro Inhibitor.",,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,recent paper with relevant terms: viral,"The SARS-CoV-2 outbreak of 2019 had a devastating impact on global health and economies worldwide. The viral cysteine protease (3CLpro) is responsible for viral polypeptide bond cleavages and is therefore an essential target to inhibit viral replication. Here, we report the di..."
pi-backlog,pmid-40577471,40577471,2025,,"Phase 2/3 study evaluating safety, immunogenicity, and noninferiority of single booster dose of AVX/COVID-12 vaccine.",,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,"Low- and middle-income countries face substantial challenges in immunizing against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), including high costs, limited access, and insufficient local manufacturing. To address these issues, we developed and locally manufa..."
pi-backlog,pmid-40494346,40494346,2025,,Neuroendocrine cells orchestrate regeneration through Desert hedgehog signaling.,,sars-cov-2;sars-cov;influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: pathway, infection",high,recent paper with relevant terms: pathway,"Understanding the mechanisms underlying mammalian regeneration may enable development of novel regenerative therapies. We present a mechanism wherein Desert hedgehog (Dhh), secreted from epithelial neuroendocrine cells, elicits a regenerative/protective response from mesenchym..."
pi-backlog,pmid-40475560,40475560,2025,,Transient lung eosinophilia during breakthrough influenza infection in vaccinated mice is associated with protective and balanced Type 1/2 immune responses.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,recent paper with relevant terms: viral,"Eosinophils are agile cells that participate in a multitude of homeostatic and inflammatory responses in the lung, ranging from allergic asthma to antiviral defense against respiratory viral infection. In the context of vaccination followed by viral infection, such as breakthr..."
pi-backlog,pmid-40475131,40475131,2025,,"Understanding the pathogenesis of uveitis in Ebola virus disease survivors: a study protocol for clinical, molecular virologic, and immunologic characterization.",,influenza,,,methods,candidate,"relevant viral/host/pathway terms matched: virus, viral, interaction, infection",high,"recent paper with relevant terms: virus, viral, host","The 2013-2016 Western African outbreak of the Ebola virus disease (EVD), the largest recorded outbreak since the discovery of Ebola virus (EBOV) in 1976, destabilized local health systems and left thousands of survivors at risk for post-acute sequelae, including vision-threate..."
pi-backlog,pmid-40458417,40458417,2025,,Addressing SARS-CoV-2 evolution: neutralization of emerging variants of concern by the AVX/COVID-12 'Patria' vaccine based on HexaPro-S ancestral Wuhan spike or its updated BA.2.75.2 version.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral","INTRODUCTION: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) remains a global health challenge, causing severe morbidity and mortality, particularly in vulnerable groups such as the elderly, immunocompromised individuals, and those with comorbidities. In low- and..."
pi-backlog,pmid-40434103,40434103,2025,,Contrasting interferon-mediated antiviral responses in human lung adenocarcinoma cells.,,influenza,,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral","UNLABELLED: Lung cancers develop from lung epithelial cells after a series of genetic and epigenetic changes, and these cells are major sites of influenza virus infection. Thus, we explored how changes found in patient-derived lung cancer cell lines impacted influenza virus re..."
