paper_id,pmid,source_collection,year,title,center,pi_candidates,previous_subset_reason,parse_status,body_word_count,decision,decision_reason,title_abstract_virus_hits,title_abstract_specific_virus_hits,title_abstract_mechanism_hits,virus_hits,mechanism_hits,cross_virus_hits,off_topic_hits,non_viral_pathogen_hits,method_resource_hits,therapeutic_clinical_hits,body_excerpt
pmid-42409264,42409264,pi-backlog,2026,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,SYBIL,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,cached_normalized,7526,relevant,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, coronavirus, interaction, interactions",virus;viral;coronavirus,coronavirus,interaction;interactions,virus;viral;influenza;coronavirus;sars-cov-2;sars;hiv;dengue;rsv;ebola,pathway;interaction;interactions;proteomics;screen;replication;epithelial,broad-spectrum,kidney,bacterial,,,"ymes vary across viral families, the active site is generally conserved to accommodate nucleoside triphosphates (NTPs) (4) (5) (6) . This feature provides opportunities to develop broad-spectrum antivirals that could be rapidly employed against emerging pathogens. Nucleoside and nucleotide analogs (NAs) mimic natural NTPs and commonly inhibit viral RNA synthesis once incorporated into the growing RNA strand (4, 7) . Remdesivir (RDV), a 1 ′ -cyano modified C-linked adenosine monophosphate prodru"
pmid-32415096,32415096,pi-backlog,2020,mRNA display with library of even-distribution reveals cellular interactors of influenza virus NS1.,SYBIL,Sumit Chanda,"viral context plus mechanism/resource terms: virus, influenza, interaction",normalized,7514,relevant,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, interaction, interactions, protein interaction",virus;influenza,influenza,interaction;interactions;protein interaction,virus;viral;influenza;dengue,host factor;host factors;host response;pathway;pathways;interaction;interactions;interactome;protein interaction;screen;replication;network,,,candida,,,"lusters, a few other novel interactors have known functional roles in viral replication (Fig. 2d ). Overall, the identified binders were significantly enriched for influenza virus host factors when compared with cellular proteins globally (chi-square test, P = 0.002) 1 , reflecting the linkage between physical and functional interactions. To obtain a detailed comparison between md-LED and AP-MS, we performed quantitative AP-MS using the same NS1. NS1 and GFP were cloned with a C-terminal 2xStrep"
pmid-32353859,32353859,hpmi,2020,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,7488,relevant,"explicit cross-virus/shared-host full-text language: multiple viruses, pan-viral",virus;viral;coronavirus;sars-cov-2;sars;covid-19,coronavirus;sars-cov-2;sars;covid-19,host factor;host factors;interaction;interactions;protein interaction;screen,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv,host factor;host factors;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;screen;restriction factor;replication;epithelial;network,multiple viruses;pan-viral;broad-spectrum,cancer;kidney,mycobacter;tuberculosis;bacterium;candida,,inhibitor;preclinical,", 26 We also identified interactions between SARS-CoV-2 Orf6 and NUP98-RAE1 ( Fig. 4a i ), an interferon-inducible mRNA nuclear export complex 27 that is hijacked or degraded by multiple viruses including VSV, Influenza-A, KSHV, and Polio, and is a restriction factor for Influenza-A infection 28 – 31 . The X-ray structure of VSV M protein complexed with NUP98-RAE1 32 reveals key binding interactions, including a buried methionine residue on the M protein packing into a hydrophobic pocket in RA"
pmid-32720752,32720752,current-program,2020,Impaired phagocytic function in CX3CR1(+) tissue-resident skeletal muscle macrophages prevents muscle recovery after influenza A virus-induced pneumonia in old mice.,,,candidate relevance plus virus/pathogen/assay support,normalized,7362,relevant,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, pathway, pathways, macrophage",virus;influenza,influenza,pathway;pathways;macrophage,virus;viral;influenza;coronavirus;sars,pathway;pathways;interaction;interactions;transcriptomics;screen;crispr;replication;macrophage;alveolar,,kidney,,,,"istent with previous reports that MERTK is necessary for cardiac repair after myocardial infarction and that mesenchymal stem cells promote cardiac repair by activating phagocytic pathways in cardiac macrophages, strengthening the causal association between tissue‐resident skeletal muscle macrophage function and muscle satellite cell proliferation (DeBerge et al., 2017 ; Vagnozzi et al., 2020 ; Zhang et al., 2019 ). Our findings fit into an emerging body of literature implicating impaired phago"
pmid-35417684,35417684,hpmi,2022,Global post-translational modification profiling of HIV-1-infected cells reveals mechanisms of host cellular pathway remodeling.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,7334,relevant,"viral context plus mechanism-rich title/abstract: hiv, virus, hiv, pathway, pathways, proteomics",virus;hiv,hiv,pathway;pathways;proteomics,virus;viral;influenza;hiv,pathway;pathways;interaction;interactions;protein interaction;proteomics;screen;crispr;replication;macrophage;network,,,,,,"The HIV-1 genome encodes several accessory genes that are dispensable for replication in some cell lines but are required in vivo for replication and evasion of host antiviral pathways. Three HIV-1 accessory genes, Vif , Vpr , and Vpu , encode proteins that bind to Cullin RING-type E3 ubiquitin ligases (CRLs) to rewire host ubiquitination systems and to antagonize antiviral host pathways ( Sauter and Kirschhoff, 2018 ). The HIV-1 Vif protein binds to the Cullin-5/Elongin-B/Elongin-C (CRL5 El"
pmid-34981043,34981043,current-program,2021,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,,,candidate relevance plus virus/pathogen/assay support,normalized,7272,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, sars-cov-2, sars",virus;sars-cov-2;sars;covid-19,sars-cov-2;sars;covid-19,interaction;interactions,virus;viral;coronavirus;sars-cov-2;sars;covid-19,interaction;interactions,,ovarian,,,,"To provide global context for the emergence of Delta in the UK, we first conducted a phylodynamic analysis of 975 Delta SARS-CoV-2 genome sequences sampled evenly by collection date between March 4, 2021 and June 15, 2021. Details of the origin and spread of Delta within India are still uncertain but coincided with a substantial increase in genomic surveillance across the country which will likely facilitate the study of these important events, but is outside the scope of this work. However, to"
pmid-21852950,21852950,pi-backlog,2011,Differential contribution of PB1-F2 to the virulence of highly pathogenic H5N1 influenza A virus in mammalian and avian species.,SYBIL,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,normalized,7210,relevant,"virus-focused title/abstract plus weaker cross-virus framing in body: species barriers, influenza, h5n1, replication",virus;viral;influenza,influenza;h5n1,replication,virus;viral;influenza,host factor;host factors;host response;interaction;screen;replication;macrophage;alveolar;epithelial,species barriers,kidney,bacterial,,,"HO: updated January 20 th , 2011). Unlike seasonal influenza A viruses, HPAIVs do not yet have the ability to spread directly from human-to-human, a likely consequence of multiple species barriers, including their preferential attachment to alpha 2,3-linked sialic acids which are rarely present in the upper regions of the human respiratory tract [2] . However, human infections with these viruses often clinically manifest with an unusual hyperactivation of the host immune response, vast overprodu"
pmid-34981069,34981069,current-program,2021,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,,,candidate relevance plus virus/pathogen/assay support,normalized,7175,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, sars-cov-2, sars",virus;sars-cov-2;sars;covid-19,sars-cov-2;sars;covid-19,interaction;interactions,virus;viral;coronavirus;sars-cov-2;sars;covid-19,interaction;interactions,,ovarian,,,,"To provide global context for the emergence of Delta in the UK, we first conducted a phylodynamic analysis of 975 Delta SARS-CoV-2 genome sequences sampled evenly by collection date between March 4, 2021 and June 15, 2021. Details of the origin and spread of Delta within India are still uncertain but coincided with a substantial increase in genomic surveillance across the country which will likely facilitate the study of these important events, but is outside the scope of this work. However, to"
pmid-34129317,34129317,pi-backlog,2021,Screening a Library of FDA-Approved and Bioactive Compounds for Antiviral Activity against SARS-CoV-2.,HPMI,Melanie Ott,explicit cross-virus or shared-host framing in title/abstract,normalized,7102,relevant,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",virus;viral;coronavirus;sars-cov-2;sars;covid-19,coronavirus;sars-cov-2;sars;covid-19,pathway;pathways;screen;replication;epithelial,virus;viral;coronavirus;sars-cov-2;sars;covid-19,host factor;host factors;pathway;pathways;interaction;proteomics;screen;dependency;replication;epithelial,,cancer;kidney,bacterial;candida,,inhibitor;repurposing screen;preclinical,"s based upon their proposed mechanism of action, including (1) protein kinase and protease inhibitors, (2) anti-inflammatory compounds, (3) direct-acting antivirals, and (4) other host factor-targeting compounds. This set of hits contained compounds with previously reported SARS-CoV-2 antiviral activity (dinaciclib, GC376 sodium, cyclosporin A, and camostat mesylate) and seven compounds that have not previously been reported to have anti-SARS-CoV-2 activity (Table 2 ). [21] [22] [23] [24] Previo"
pmid-32240278,32240278,pi-backlog,2020,Chemical intervention of influenza virus mRNA nuclear export.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, pathway, screen",normalized,7064,relevant,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, screen",virus;viral;influenza,influenza,pathway;screen;replication,virus;viral;influenza,pathway;pathways;interaction;interactions;screen;crispr;replication;epithelial;network,,,candida,,inhibitor,"ocessing factors [ 10 ], and that this process requires key viral-host interactions for both splicing and nuclear export of the viral M2 mRNA [ 9 , 11 – 13 ]. These data suggest a pathway in which the viral NS1 protein interacts with the cellular NS1-BP protein, which in turn binds hnRNP K to target the M1 mRNA from the nucleoplasm to nuclear speckles. At this nuclear body, the U1 snRNP and/or dissociation of NS1 induces a remodeling of the protein-RNA complex in a manner that hnRNP K recruits U"
pmid-24586175,24586175,pi-backlog,2014,Human genome-wide RNAi screen identifies an essential role for inositol pyrophosphates in Type-I interferon response.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, influenza, pathway, screen",normalized,7030,relevant,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, screen",virus;viral;influenza,influenza,pathway;screen,virus;viral;influenza,host response;pathway;pathways;proteomics;screen;macrophage;network,,kidney,,,,"The innate immune system, a primordial yet highly organized defense mechanism, plays critical roles in the host response against RNA viruses. The first step in the innate immune response involves recognition of pathogen-associated molecular patterns by several host encoded pattern recognition receptors (PRR). A key mediator of antiviral immunity is the type-I interferon family of cytokines, which are transcribed upon detect"
pmid-38045338,38045338,hpmi,2023,Assembly reactions of SARS-CoV-2 nucleocapsid protein with nucleic acid.,HPMI,,candidate relevance plus virus/pathogen/assay support,cached_normalized,7025,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",viral;sars-cov-2;sars,sars-cov-2;sars,interaction;interactions;protein interaction,virus;viral;coronavirus;sars-cov-2;sars,pathway;pathways;interaction;interactions;protein interaction;dependency;immune evasion,,,bacterial,,,"ring ( 1 , 2 ). vRNPs have 14 −16 nm sized pillar-shaped structures, are heterogeneous, and are composed of nucleocapsid (N-)protein and RNA with unknown architecture and assembly pathway. N-protein is a 419 aa protein highly expressed in infected cells, and besides its key role in vRNP formation it is highly multifunctional ( 3 – 5 ). It consists in two folded domains, the NTD and CTD, which are linked and flanked by large intrinsically disordered regions (IDRs) termed N-arm, linker, and C-arm"
pmid-39580801,39580801,pi-backlog,2024,TRIM65 regulates innate immune signaling by enhancing K6-linked ubiquitination of IRF3 and its chromatin recruitment.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, interaction",cached_normalized,6992,relevant,"viral context plus mechanism-rich title/abstract: viral, pathway, pathways, interaction",viral,,pathway;pathways;interaction,virus;viral;influenza,pathway;pathways;interaction;interactions;protein interaction;screen;crispr;replication;macrophage;network,,tumor,,,,"id-inducible gene-I (RIG-I)-like receptors (RLRs) family, have been described as the main receptors in the recognition of RNA viruses. They initiate the interferon (IFN) induction pathway by sensing nonself-pathogen-associated molecular patterns (PAMPs) in the cytoplasm after infection. 1, 2 Specifically, upon sensing of intracellular viral RNA in the infected cell, the signal is transduced downstream through mitochondrial antiviral signaling (MAVS) protein. This adaptor protein subsequently rec"
pmid-33429418,33429418,current-program,2021,Circuits between infected macrophages and T cells in SARS-CoV-2 pneumonia.,CViSB,Donald S Grant;Richard Wunderink,candidate relevance plus virus/pathogen/assay support,normalized,6985,relevant,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, coronavirus",virus;coronavirus;sars-cov-2;sars;covid-19,coronavirus;sars-cov-2;sars;covid-19,macrophage;alveolar,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19,screen;replication;macrophage;alveolar;epithelial;network,,,legionella;bacterial;fungal;streptococcus,,,". Patients ≥ 18 years of age with suspicion of pneumonia based on clinical criteria (including but not limited to fever, radiographic infiltrate, and respiratory secretions) were screened for enrollment into the SCRIPT study. Inability to safely perform BAL or NBBAL were considered exclusion criteria 44 . In our center, patients with respiratory failure are intubated based on the judgement of bedside clinicians for worsening hypoxemia, hypercapnia, or work of breathing refractory to high-flow o"
pmid-29370303,29370303,pi-backlog,2018,MERS-CoV 4b protein interferes with the NF-κB-dependent innate immune response during infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, coronavirus, interaction",normalized,6857,relevant,"viral context plus mechanism-rich title/abstract: coronavirus, virus, viral, coronavirus, pathway, pathways",virus;viral;coronavirus,coronavirus,pathway;pathways;interaction,virus;viral;influenza;coronavirus;sars;ebola,pathway;pathways;interaction;interactions;proteomics;screen;replication;epithelial,,kidney,,,,"κB activity is essential for lymphocyte survival and activation, and for initiating and propagating optimal immune responses. By contrast, the constitutive activation of the NF-κB pathway is often associated with inflammatory diseases, such as rheumatoid arthritis and asthma. Exacerbated NF-κB activity has been demonstrated to be important for the inflammatory immunopathology induced by respiratory viruses such as severe acute respiratory syndrome (SARS)-CoV [ 5 , 6 ] and influenza A virus [ 7 ]"
pmid-38306481,38306481,pi-backlog,2024,Viral afterlife: SARS-CoV-2 as a reservoir of immunomimetic peptides that reassemble into proinflammatory supramolecular complexes.,UCLA-Persistent-BSI,Michael Yeaman,"viral context plus mechanism/resource terms: viral, coronavirus, sars, transcriptome",cached_normalized,6836,relevant,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",virus;viral;coronavirus;sars-cov-2;sars;covid-19,coronavirus;sars-cov-2;sars;covid-19,macrophage;epithelial,virus;viral;coronavirus;sars-cov-2;sars;covid-19,macrophage;epithelial,,,,,,
pmid-41459948,41459948,pi-backlog,2026,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,SYBIL,Michael Schotsaert,"viral context plus mechanism/resource terms: virus, viral, influenza, host response",cached_normalized,6825,relevant,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, viral, influenza, host response",virus;viral;influenza,influenza;h1n1,host response;macrophage;alveolar,virus;viral;influenza;sars-cov-2;sars,host response;pathway;interaction;interactions;replication;macrophage;alveolar;epithelial,,kidney,mycobacter;tuberculosis;bacterial;bacterium;staphylococcus;streptococcus,,preclinical,"mune response to influenza virus in the two different scenarios. We also explored the role of pre-existing immunity to influenza, provided by TIV vaccination, on modulation of the host response to infection. Our results show that mortality rates are elevated in both coinfections and superinfections in the context of NC99 and Spn challenges that are sublethal on their own. Relevant differences were detected between the two secondary infection regimes. Superinfection led to 100% mortality within"
pmid-39187718,39187718,hpmi,2024,Birth of protein folds and functions in the virome.,HPMI,,candidate relevance plus virus/pathogen/assay support,cached_normalized,6818,relevant,"viral context plus mechanism-rich title/abstract: virus, viral, interaction, interactions, immune evasion, replication",virus;viral,,interaction;interactions;immune evasion;replication,virus;viral,interaction;interactions;immune evasion;replication,,,,,,
pmid-27783955,27783955,pi-backlog,2016,A Cas9 Ribonucleoprotein Platform for Functional Genetic Studies of HIV-Host Interactions in Primary Human T Cells.,HPMI,Jennifer Doudna,"viral context plus mechanism/resource terms: viral, hiv, dependency, screen",normalized,6695,relevant,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, host factor, host factors, interaction",viral;hiv,hiv,host factor;host factors;interaction;interactions;screen;crispr;dependency;restriction factor,virus;viral;hiv,host factor;host factors;pathway;pathways;interaction;interactions;protein interaction;screen;crispr;dependency;restriction factor;replication,,,candida,,,"5 gene that prevented HIV entry into these cells ( Allers et al., 2011 ; Hutter et al., 2009 ). This success has motivated ongoing efforts to engineer human immune cells that lack host factors required for HIV pathogenesis as a means to achieve a permanent cure ( Baltimore, 1988 ; Deeks and McCune, 2010 ; Leibman and Riley, 2015 ). Several clinical trials are currently underway using zinc-finger nucleases (ZFNs) to delete the HIV co-receptors CXCR4 and CCR5 to generate immune cells that are res"
pmid-38643200,38643200,current-program,2024,Deviations in RSV epidemiological patterns and population structures in the United States following the COVID-19 pandemic.,,,candidate relevance plus virus/pathogen/assay support,cached_normalized,6677,relevant,explicit cross-virus/shared-host full-text language: pan-viral,virus;covid-19;rsv,covid-19;rsv,,virus;viral;influenza;sars-cov-2;sars;covid-19;rsv,immune evasion;replication;network,pan-viral,,,,,"ined by an increase in outpatient detections, which is strongly associated with a shift in the diagnostic testing platforms being used in our hospital system. The increased use of pan-viral molecular diagnostics platforms may increase the number of incidental detections that must be considered when interpreting epidemiological trends. This observed increase in molecular diagnostic usage could likewise be attributed to shifts in practice and societal norms regarding testing. Namely, changes in in"
pmid-30209081,30209081,pi-backlog,2018,Multiple Routes to Oncogenesis Are Promoted by the Human Papillomavirus-Host Protein Network.,HPMI,Trey Ideker,"viral context plus mechanism/resource terms: virus, viral, pathway, interaction, network",normalized,6676,relevant,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, interaction, interactions, protein interaction",virus;viral,,pathway;interaction;interactions;protein interaction;network,virus;viral,pathway;pathways;interaction;interactions;interactome;protein interaction;crispr;replication;epithelial;network,,cancer;tumor;kidney;breast cancer,,,,"number of other tumor suppressors and proto-oncoproteins have been established as viral targets, suggesting that establishment of infection and tumorigenesis share a set of common pathways ( 7 – 9 ). Focusing on these known oncogenic viral proteins, previous studies have used affinity purification-mass spectrometry (AP-MS) or yeast two-hybrid methods to construct catalogs of HPV-human PPI networks ( 9 – 12 ). However, a complete interactome between all HPV and human proteins is still lacking, an"
pmid-35982664,35982664,hpmi,2022,NF-κB inhibitor alpha has a cross-variant role during SARS-CoV-2 infection in ACE2-overexpressing human airway organoids.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,6548,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, replication",viral;sars-cov-2;sars,sars-cov-2;sars,replication;epithelial,virus;viral;coronavirus;sars-cov-2;sars;covid-19,pathway;transcriptomics;replication;alveolar;epithelial,,cancer,,,inhibitor,"set of variants, and applied scRNA-seq to understand the cell-intrinsic response to SARS-CoV-2 in this primary cell model. We identified NFKBIA, a critical regulator of the NF-κB pathway, as a universal gene that marks highly infected cells across all viral variants, underscoring the recognized link between inflammation and SARS-CoV-2 infection that dominates acute respiratory distress syndrome and severe disease in the lung. HAOs were grown from digested uninfected donor lungs, according to a"
pmid-39089348,39089348,pi-backlog,2024,Patient subtyping analysis of baseline multi-omic data reveals distinct pre-immune states associated with antibody response to seasonal influenza vaccination.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: influenza, proteomics",cached_normalized,6420,relevant,"viral context plus mechanism-rich title/abstract: influenza, influenza, proteomics, transcriptomics",influenza,influenza,proteomics;transcriptomics,influenza,proteomics;transcriptomics,,,,,,
pmid-23593007,23593007,pi-backlog,2013,Lipid droplet-binding protein TIP47 regulates hepatitis C Virus RNA replication through interaction with the viral NS5A protein.,HPMI,Melanie Ott,"viral context plus mechanism/resource terms: virus, viral, interaction, screen",normalized,6370,relevant,"viral context plus mechanism-rich title/abstract: hcv, hepatitis c virus, virus, viral, interaction, screen",virus;viral,hcv;hepatitis c virus,interaction;screen;replication,virus;viral;hiv;dengue;rsv,host factor;host factors;pathway;pathways;interaction;interactions;protein interaction;screen;replication,,,,,,"interaction serves to make LD membranes accessible for RNA replication, thus potentially participating in membrane rearrangements known to support HCV RNA replication. To identify host factors that interact with HCV NS5A, a Y2H assay was performed using the N-terminal amphipathic α-helix as bait ( Figure 1A,B ). The screen resulted in 22 confirmed positive clones. 12 of the 22 clones were found to be TIP47 (4 by sequencing and 8 by restriction digest), thus identifying TIP47 as a novel interacti"
pmid-34031651,34031651,hpmi,2021,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,6361,relevant,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",virus;viral;coronavirus;sars-cov-2;sars,coronavirus;sars-cov-2;sars,interaction;replication,virus;viral;coronavirus;sars-cov-2;sars;covid-19,host factor;host factors;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;replication;network,,,,,inhibitor,"lfill a number of essential viral functions including RNA replication, replication proofreading, double-membrane vesicle formation, and others 1 . Many of these also interact with host factors to effectively subvert the host cell to meet the virus’s needs 2 . Such subversion, for example, includes suppressing host innate immune responses, host translation, nuclear import, and other effects 3 – 5 . Despite their central importance to viral pathogenesis, many non-structural proteins remain structu"
pmid-34013269,34013269,hpmi,2021,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,6361,relevant,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",virus;viral;coronavirus;sars-cov-2;sars,coronavirus;sars-cov-2;sars,interaction;replication,virus;viral;coronavirus;sars-cov-2;sars;covid-19,host factor;host factors;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;replication;network,,,,,inhibitor,"lfill a number of essential viral functions including RNA replication, replication proofreading, double-membrane vesicle formation, and others 1 . Many of these also interact with host factors to effectively subvert the host cell to meet the virus’s needs 2 . Such subversion, for example, includes suppressing host innate immune responses, host translation, nuclear import, and other effects 3 – 5 . Despite their central importance to viral pathogenesis, many non-structural proteins remain structu"
pmid-34225493,34225493,pi-backlog,2021,Expression of the Ebola Virus VP24 Protein Compromises the Integrity of the Nuclear Envelope and Induces a Laminopathy-Like Cellular Phenotype.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, interactome, interaction",normalized,6327,relevant,"viral context plus mechanism-rich title/abstract: ebola, virus, viral, ebola, pathway, pathways",virus;viral;ebola,ebola,pathway;pathways;interaction;interactome,virus;viral;ebola,pathway;pathways;interaction;interactions;interactome;replication;macrophage,,,candida,,,"cumulation of DNA damage, and an altered pattern of heterochromatin distribution and signaling abnormalities, including those affecting the mitogen-activated protein kinase (MAPK) pathway, features of many diseases collectively known as laminopathies. The critical roles of the nuclear envelope as both a cellular barrier and a regulator of gene expression explain why many viral pathogens have evolved to modulate its permeability ( 27 ). Here, we show that EBOV VP24 interacts with emerin, lamin A"
pmid-38168164,38168164,current-program,2023,Altered RSV Epidemiology and Genetic Diversity Following the COVID-19 Pandemic.,,,candidate relevance plus virus/pathogen/assay support,cached_normalized,6304,relevant,explicit cross-virus/shared-host full-text language: pan-viral,virus;covid-19;rsv,covid-19;rsv,,virus;viral;influenza;sars-cov-2;sars;covid-19;rsv,immune evasion;replication;network,pan-viral,,,,,"an increase in outpatient detections, which is strongly associated with a shift in the diagnostic testing platforms being used in our hospital system. The increased use of rapid, pan-viral molecular diagnostics platforms may increase the number of incidental detections that must be considered when interpreting epidemiological trends. This observed increase in molecular diagnostic usage could likewise be attributed to shifts in practice and societal norms regarding testing. Namely, changes in in"
pmid-35291294,35291294,pi-backlog,2022,Low expression of EXOSC2 protects against clinical COVID-19 and impedes SARS-CoV-2 replication.,HPMI,Nevan Krogan,"viral context plus mechanism/resource terms: virus, viral, sars, interaction",normalized,6265,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, viral, sars-cov-2",virus;viral;sars-cov-2;sars;covid-19,sars-cov-2;sars;covid-19,interaction;interactions;crispr;replication,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;rsv,pathway;interaction;interactions;screen;crispr;replication,,cancer,candida,,,"ficant functional enrichment by adjusted p-value, within the set of 2,445 genes up-regulated in WT Calu-3 cells after SARS-CoV-2 infection ( Supplementary Fig. S2A ), was the KEGG pathway ‘TNF signalling pathway’ (Fisher exact test, adjusted p=2.28e-21, OR=7.87) suggesting that this represents the immune response to acute SARS-CoV-2 infection. Our observations are consistent with previous literature: the 2,445 genes were highly enriched with reported gene expression changes in Calu-3 cells infec"
pmid-23825951,23825951,pi-backlog,2013,Cellular RNA binding proteins NS1-BP and hnRNP K regulate influenza A virus RNA splicing.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, proteomics",normalized,6225,relevant,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, proteomics, replication",virus;viral;influenza,influenza,proteomics;replication,virus;viral;influenza;hiv;hepatitis b virus,host response;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;replication;epithelial,,,,,,"[7] , [8] . Recently, a ribosomal frameshift product derived from the RNA segment that encodes PA has been identified and termed PA-X [9] . This protein was then shown to modulate host response [9] . Furthermore, additional products from the PA segment have been reported including PA-N155 and PA-N182, which may also function in virus replication [10] . Two of the influenza virus RNA segments generate spliced products: NS segment encodes the non-structural protein (NS1) and nuclear export protei"
pmid-30833725,30833725,hpmi,2019,Identification of antiviral roles for the exon-junction complex and nonsense-mediated decay in flaviviral infection.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,6196,relevant,"viral context plus mechanism-rich title/abstract: dengue, zika, flavivirus, virus, viral, dengue",virus;viral;dengue;zika,dengue;zika;flavivirus,pathway;pathways;interaction;screen,virus;viral;hiv;dengue;zika;yellow fever virus,host factor;host factors;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;screen;replication;network,,,candida,,,"ethora of factors identified is likely incomplete. Here, we combine a mass spectrometry-based approach for mapping protein-protein interactions with genetic screening to identify host factors that physically interact with WNV proteins and influence infection. This approach is a powerful strategy to uncover mechanisms of viral infection and subversion of cell-intrinsic restriction pathways 10 – 14 . In total, we identified 259 WNV-interacting host proteins by co-immunoprecipitation of WNV protei"
pmid-29391557,29391557,pi-backlog,2018,SMARCA2-regulated host cell factors are required for MxA restriction of influenza A viruses.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, influenza, screen, transcriptome",normalized,6172,relevant,"viral context plus mechanism-rich title/abstract: influenza, h5n1, virus, viral, influenza, screen",virus;viral;influenza,influenza;h5n1,screen;restriction factor;epithelial,virus;viral;influenza;hiv,host factor;host factors;pathway;pathways;interaction;interactions;protein interaction;screen;crispr;restriction factor;replication;epithelial;network,,tumor,candida,,,se knockdown led to a significant (p-value < 0.05) increase in virus growth in A549-MxA cells (Supplementary Table S2 ). In parallel with the RNAi-mediated approach of identifying host factors required for MxA activity we employed a second strategy aimed at identifying host cell factors that interact with MxA. Experimental conditions were largely maintained to allow a combined bioinformatic analysis of siRNA screening and proteomic screening data at a later step. The antiviral activity of Mx pro
pmid-31851929,31851929,pi-backlog,2019,Viral Fitness Landscapes in Diverse Host Species Reveal Multiple Evolutionary Lines for the NS1 Gene of Influenza A Viruses.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, influenza, host response",normalized,6120,relevant,explicit cross-virus/shared-host full-text language: conserved host,virus;viral;influenza,influenza,host response;pathway;pathways;replication,virus;viral;influenza,host factor;host factors;host response;pathway;pathways;interaction;interactions;protein interaction;replication;epithelial;network,conserved host,kidney,,,,"ism among the IAV NS1 genes result from adaptations to specific host factors among the large variety of known NS1 interactors. For instance, NS1 proteins that interact with highly conserved host proteins to enhance viral replication might display a broad host tropism. Such is the case of the host polyadenylation factor CPSF30, which is one of the known host targets interacting with NS1 ( Nemeroff et al., 1998 ). In contrast, NS1 variants that do not interact with CPSF30, like the 2009 pandemic H"
